context: Fixed Synced by bozxphd.Enjoy The Flick response:	Dropping troops at rally point.
context: I'm sorry.\Please leave.\Don't think I'm done with you.\Whoa, Nagisa! What the hell are you?!\You're amazing!\One-two!\Hooray! Hooray! Hooray!\I see you've noticed it too. response:	He has the natural talent in assassinations.
context: Please leave.\Don't think I'm done with you.\Whoa, Nagisa! What the hell are you?!\You're amazing!\One-two!\Hooray! Hooray! Hooray!\I see you've noticed it too.\He has the natural talent in assassinations. response:	But because Takaoka didn't know that, he let his guard down.
context: Don't think I'm done with you.\Whoa, Nagisa! What the hell are you?!\You're amazing!\One-two!\Hooray! Hooray! Hooray!\I see you've noticed it too.\He has the natural talent in assassinations.\But because Takaoka didn't know that, he let his guard down. response:	Even if he looks weak,
context: Whoa, Nagisa! What the hell are you?!\You're amazing!\One-two!\Hooray! Hooray! Hooray!\I see you've noticed it too.\He has the natural talent in assassinations.\But because Takaoka didn't know that, he let his guard down.\Even if he looks weak, response:	for an assassin, it's a formidable talent.
context: You're amazing!\One-two!\Hooray! Hooray! Hooray!\I see you've noticed it too.\He has the natural talent in assassinations.\But because Takaoka didn't know that, he let his guard down.\Even if he looks weak,\for an assassin, it's a formidable talent. response:	The E Class is truly training a wide variety of talented assassins.
context: One-two!\Hooray! Hooray! Hooray!\I see you've noticed it too.\He has the natural talent in assassinations.\But because Takaoka didn't know that, he let his guard down.\Even if he looks weak,\for an assassin, it's a formidable talent.\The E Class is truly training a wide variety of talented assassins. response:	As to who will be able to successfully assassinate me,
context: Hooray! Hooray! Hooray!\I see you've noticed it too.\He has the natural talent in assassinations.\But because Takaoka didn't know that, he let his guard down.\Even if he looks weak,\for an assassin, it's a formidable talent.\The E Class is truly training a wide variety of talented assassins.\As to who will be able to successfully assassinate me, response:	I'm very much looking forward to it.
context: I see you've noticed it too.\He has the natural talent in assassinations.\But because Takaoka didn't know that, he let his guard down.\Even if he looks weak,\for an assassin, it's a formidable talent.\The E Class is truly training a wide variety of talented assassins.\As to who will be able to successfully assassinate me,\I'm very much looking forward to it. response:	Sudden strong rains are common these days, huh?
context: He has the natural talent in assassinations.\But because Takaoka didn't know that, he let his guard down.\Even if he looks weak,\for an assassin, it's a formidable talent.\The E Class is truly training a wide variety of talented assassins.\As to who will be able to successfully assassinate me,\I'm very much looking forward to it.\Sudden strong rains are common these days, huh? response:	That's why it feel so damp and humid.
context: But because Takaoka didn't know that, he let his guard down.\Even if he looks weak,\for an assassin, it's a formidable talent.\The E Class is truly training a wide variety of talented assassins.\As to who will be able to successfully assassinate me,\I'm very much looking forward to it.\Sudden strong rains are common these days, huh?\That's why it feel so damp and humid. response:	Hey guys! Korosensei's coming!
context: Even if he looks weak,\for an assassin, it's a formidable talent.\The E Class is truly training a wide variety of talented assassins.\As to who will be able to successfully assassinate me,\I'm very much looking forward to it.\Sudden strong rains are common these days, huh?\That's why it feel so damp and humid.\Hey guys! Korosensei's coming! response:	- He's coming! Let's do it! - Yeah, let's!
context: for an assassin, it's a formidable talent.\The E Class is truly training a wide variety of talented assassins.\As to who will be able to successfully assassinate me,\I'm very much looking forward to it.\Sudden strong rains are common these days, huh?\That's why it feel so damp and humid.\Hey guys! Korosensei's coming!\- He's coming! Let's do it! - Yeah, let's! response:	Okay everyone. Please take your seats.
context: The E Class is truly training a wide variety of talented assassins.\As to who will be able to successfully assassinate me,\I'm very much looking forward to it.\Sudden strong rains are common these days, huh?\That's why it feel so damp and humid.\Hey guys! Korosensei's coming!\- He's coming! Let's do it! - Yeah, let's!\Okay everyone. Please take your seats. response:	Whoa! Your head is really swollen!
context: As to who will be able to successfully assassinate me,\I'm very much looking forward to it.\Sudden strong rains are common these days, huh?\That's why it feel so damp and humid.\Hey guys! Korosensei's coming!\- He's coming! Let's do it! - Yeah, let's!\Okay everyone. Please take your seats.\Whoa! Your head is really swollen! response:	Oh no! There is a leak at the roof!
context: I'm very much looking forward to it.\Sudden strong rains are common these days, huh?\That's why it feel so damp and humid.\Hey guys! Korosensei's coming!\- He's coming! Let's do it! - Yeah, let's!\Okay everyone. Please take your seats.\Whoa! Your head is really swollen!\Oh no! There is a leak at the roof! response:	Okay then. Let's start our science class.
context: Sudden strong rains are common these days, huh?\That's why it feel so damp and humid.\Hey guys! Korosensei's coming!\- He's coming! Let's do it! - Yeah, let's!\Okay everyone. Please take your seats.\Whoa! Your head is really swollen!\Oh no! There is a leak at the roof!\Okay then. Let's start our science class. response:	We'll be conducting an experiment about oxidation reduction.
context: That's why it feel so damp and humid.\Hey guys! Korosensei's coming!\- He's coming! Let's do it! - Yeah, let's!\Okay everyone. Please take your seats.\Whoa! Your head is really swollen!\Oh no! There is a leak at the roof!\Okay then. Let's start our science class.\We'll be conducting an experiment about oxidation reduction. response:	Korosensei.
context: Hey guys! Korosensei's coming!\- He's coming! Let's do it! - Yeah, let's!\Okay everyone. Please take your seats.\Whoa! Your head is really swollen!\Oh no! There is a leak at the roof!\Okay then. Let's start our science class.\We'll be conducting an experiment about oxidation reduction.\Korosensei. response:	Yes?
context: - He's coming! Let's do it! - Yeah, let's!\Okay everyone. Please take your seats.\Whoa! Your head is really swollen!\Oh no! There is a leak at the roof!\Okay then. Let's start our science class.\We'll be conducting an experiment about oxidation reduction.\Korosensei.\Yes? response:	Uh, umm...
