context: How to contact Luna Nova? response:	What's this now? Have the seeds of love finally sprouted in your withered heart?
context: imeeji suru no wa ima yori takaku\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time response:	chiisana kara nandomo nugisutete
context: Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete response:	I won't let my reckless abandon go to waste
context: tobitachi odoridasu kokoro\Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste response:	gamushara dake de owarasenai
context: Yet my heart leaps out to meet them\tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai response:	I won't let my reckless abandon go to waste
context: tobitachi odoridasu kokoro\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste response:	gamushara dake de owarasenai
context: Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai response:	I'll leave who I was yesterday behind
context: chiisana kara nandomo nugisutete\Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind response:	kinou no watashi wo koeru you ni
context: Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni response:	I'll leave who I was yesterday behind
context: chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind response:	kinou no watashi wo koeru you ni
context: I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni response:	Unfurling my transparent wings to the sky
context: gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky response:	toumei na tsubasa habatakasetara
context: I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara response:	Unfurling my transparent wings to the sky
context: gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky response:	toumei na tsubasa habatakasetara
context: I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara response:	I feel I can get closer to the tomorrow of my ideals
context: kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals response:	akogareteta ashita e kitto chikadzukeru ki ga shiterunda
context: I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda response:	I feel I can get closer to the tomorrow of my ideals
context: kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals response:	akogareteta ashita e kitto chikadzukeru ki ga shiterunda
context: Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda response:	Putting together the shards of a starry sky that I found
context: toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found response:	mitsuketa hoshizora no kakera musunde
context: Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde response:	Putting together the shards of a starry sky that I found
context: toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\Putting together the shards of a starry sky that I found response:	mitsuketa hoshizora no kakera musunde
context: I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde response:	I'll keep on chasing my dream to learn even more
