context: Hear me, humans! response:	I'll leave Ente Isla in your hands for now.
context: Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale response:	Today Only Eg gs Medium size
context: On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size response:	On Sale
context: Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale response:	Today Only Eg gs Medium size
context: On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size response:	On Sale
context: Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale response:	Today Only Eg gs Medium size
context: On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size response:	On Sale
context: Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale response:	Today Only Eg gs Medium size
context: On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size response:	On Sale
context: Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale response:	Today Only Eg gs Medium size
context: On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size response:	We should get back in line afterward and buy another pack each.
context: Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\We should get back in line afterward and buy another pack each. response:	That's against the rules, man.
context: On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\We should get back in line afterward and buy another pack each.\That's against the rules, man. response:	Wanna go get some dinner tonight, Emi?
context: Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\We should get back in line afterward and buy another pack each.\That's against the rules, man.\Wanna go get some dinner tonight, Emi? response:	Sorry, I'm busy tonight.
context: On Sale\Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\We should get back in line afterward and buy another pack each.\That's against the rules, man.\Wanna go get some dinner tonight, Emi?\Sorry, I'm busy tonight. response:	Ashiya,
context: Today Only Eg gs Medium size\On Sale\Today Only Eg gs Medium size\We should get back in line afterward and buy another pack each.\That's against the rules, man.\Wanna go get some dinner tonight, Emi?\Sorry, I'm busy tonight.\Ashiya, response:	I'm heading out!
context: On Sale\Today Only Eg gs Medium size\We should get back in line afterward and buy another pack each.\That's against the rules, man.\Wanna go get some dinner tonight, Emi?\Sorry, I'm busy tonight.\Ashiya,\I'm heading out! response:	We don't have a second to lose!
context: Today Only Eg gs Medium size\We should get back in line afterward and buy another pack each.\That's against the rules, man.\Wanna go get some dinner tonight, Emi?\Sorry, I'm busy tonight.\Ashiya,\I'm heading out!\We don't have a second to lose! response:	We need to take a bloody bath!
context: We should get back in line afterward and buy another pack each.\That's against the rules, man.\Wanna go get some dinner tonight, Emi?\Sorry, I'm busy tonight.\Ashiya,\I'm heading out!\We don't have a second to lose!\We need to take a bloody bath! response:	Please wait, milord!
context: That's against the rules, man.\Wanna go get some dinner tonight, Emi?\Sorry, I'm busy tonight.\Ashiya,\I'm heading out!\We don't have a second to lose!\We need to take a bloody bath!\Please wait, milord! response:	A bloodbath?!
context: Wanna go get some dinner tonight, Emi?\Sorry, I'm busy tonight.\Ashiya,\I'm heading out!\We don't have a second to lose!\We need to take a bloody bath!\Please wait, milord!\A bloodbath?! response:	Just what are they going to fight?!
context: Sorry, I'm busy tonight.\Ashiya,\I'm heading out!\We don't have a second to lose!\We need to take a bloody bath!\Please wait, milord!\A bloodbath?!\Just what are they going to fight?! response:	We made it in time.
context: Ashiya,\I'm heading out!\We don't have a second to lose!\We need to take a bloody bath!\Please wait, milord!\A bloodbath?!\Just what are they going to fight?!\We made it in time. response:	They should keep the bathhouse open 24/7.
context: I'm heading out!\We don't have a second to lose!\We need to take a bloody bath!\Please wait, milord!\A bloodbath?!\Just what are they going to fight?!\We made it in time.\They should keep the bathhouse open 24/7. response:	The first thing I do after I conquer Japan
context: We don't have a second to lose!\We need to take a bloody bath!\Please wait, milord!\A bloodbath?!\Just what are they going to fight?!\We made it in time.\They should keep the bathhouse open 24/7.\The first thing I do after I conquer Japan response:	is build a 24-hour bathhouse.
context: We need to take a bloody bath!\Please wait, milord!\A bloodbath?!\Just what are they going to fight?!\We made it in time.\They should keep the bathhouse open 24/7.\The first thing I do after I conquer Japan\is build a 24-hour bathhouse. response:	You'll come with me tonight, right?
context: Please wait, milord!\A bloodbath?!\Just what are they going to fight?!\We made it in time.\They should keep the bathhouse open 24/7.\The first thing I do after I conquer Japan\is build a 24-hour bathhouse.\You'll come with me tonight, right? response:	Huh? Uh...
context: A bloodbath?!\Just what are they going to fight?!\We made it in time.\They should keep the bathhouse open 24/7.\The first thing I do after I conquer Japan\is build a 24-hour bathhouse.\You'll come with me tonight, right?\Huh? Uh... response:	Plans again?!
context: Just what are they going to fight?!\We made it in time.\They should keep the bathhouse open 24/7.\The first thing I do after I conquer Japan\is build a 24-hour bathhouse.\You'll come with me tonight, right?\Huh? Uh...\Plans again?! response:	S-Sorry...
context: We made it in time.\They should keep the bathhouse open 24/7.\The first thing I do after I conquer Japan\is build a 24-hour bathhouse.\You'll come with me tonight, right?\Huh? Uh...\Plans again?!\S-Sorry... response:	So your boyfriend comes before your girlfriend, huh?
context: They should keep the bathhouse open 24/7.\The first thing I do after I conquer Japan\is build a 24-hour bathhouse.\You'll come with me tonight, right?\Huh? Uh...\Plans again?!\S-Sorry...\So your boyfriend comes before your girlfriend, huh? response:	I told you it's not like that.
context: The first thing I do after I conquer Japan\is build a 24-hour bathhouse.\You'll come with me tonight, right?\Huh? Uh...\Plans again?!\S-Sorry...\So your boyfriend comes before your girlfriend, huh?\I told you it's not like that. response:	Please stop, milord.
context: is build a 24-hour bathhouse.\You'll come with me tonight, right?\Huh? Uh...\Plans again?!\S-Sorry...\So your boyfriend comes before your girlfriend, huh?\I told you it's not like that.\Please stop, milord. response:	Maou
context: You'll come with me tonight, right?\Huh? Uh...\Plans again?!\S-Sorry...\So your boyfriend comes before your girlfriend, huh?\I told you it's not like that.\Please stop, milord.\Maou response:	Sadao
context: Huh? Uh...\Plans again?!\S-Sorry...\So your boyfriend comes before your girlfriend, huh?\I told you it's not like that.\Please stop, milord.\Maou\Sadao response:	But I can't stop thinking about this demonic experiment!
context: Plans again?!\S-Sorry...\So your boyfriend comes before your girlfriend, huh?\I told you it's not like that.\Please stop, milord.\Maou\Sadao\But I can't stop thinking about this demonic experiment! response:	Demonic, my ass! What's with this foolish
context: S-Sorry...\So your boyfriend comes before your girlfriend, huh?\I told you it's not like that.\Please stop, milord.\Maou\Sadao\But I can't stop thinking about this demonic experiment!\Demonic, my ass! What's with this foolish response:	Whoa, it's true!
context: So your boyfriend comes before your girlfriend, huh?\I told you it's not like that.\Please stop, milord.\Maou\Sadao\But I can't stop thinking about this demonic experiment!\Demonic, my ass! What's with this foolish\Whoa, it's true! response:	Chiho was right!
context: I told you it's not like that.\Please stop, milord.\Maou\Sadao\But I can't stop thinking about this demonic experiment!\Demonic, my ass! What's with this foolish\Whoa, it's true!\Chiho was right! response:	You have a bite too!
context: Please stop, milord.\Maou\Sadao\But I can't stop thinking about this demonic experiment!\Demonic, my ass! What's with this foolish\Whoa, it's true!\Chiho was right!\You have a bite too! response:	It tastes kinda like melons!
context: Maou\Sadao\But I can't stop thinking about this demonic experiment!\Demonic, my ass! What's with this foolish\Whoa, it's true!\Chiho was right!\You have a bite too!\It tastes kinda like melons! response:	Like hell it does!
context: Sadao\But I can't stop thinking about this demonic experiment!\Demonic, my ass! What's with this foolish\Whoa, it's true!\Chiho was right!\You have a bite too!\It tastes kinda like melons!\Like hell it does! response:	You can put honey on a cucumber, but it's still a cucumber.
context: But I can't stop thinking about this demonic experiment!\Demonic, my ass! What's with this foolish\Whoa, it's true!\Chiho was right!\You have a bite too!\It tastes kinda like melons!\Like hell it does!\You can put honey on a cucumber, but it's still a cucumber. response:	I should just go home.
context: Demonic, my ass! What's with this foolish\Whoa, it's true!\Chiho was right!\You have a bite too!\It tastes kinda like melons!\Like hell it does!\You can put honey on a cucumber, but it's still a cucumber.\I should just go home. response:	Listen up, milord.
context: Whoa, it's true!\Chiho was right!\You have a bite too!\It tastes kinda like melons!\Like hell it does!\You can put honey on a cucumber, but it's still a cucumber.\I should just go home.\Listen up, milord. response:	Only people with leeway can eat like this.
context: Chiho was right!\You have a bite too!\It tastes kinda like melons!\Like hell it does!\You can put honey on a cucumber, but it's still a cucumber.\I should just go home.\Listen up, milord.\Only people with leeway can eat like this. response:	Don't you have any leeway in your heart?
context: You have a bite too!\It tastes kinda like melons!\Like hell it does!\You can put honey on a cucumber, but it's still a cucumber.\I should just go home.\Listen up, milord.\Only people with leeway can eat like this.\Don't you have any leeway in your heart? response:	Why are you twisting my words?!
context: It tastes kinda like melons!\Like hell it does!\You can put honey on a cucumber, but it's still a cucumber.\I should just go home.\Listen up, milord.\Only people with leeway can eat like this.\Don't you have any leeway in your heart?\Why are you twisting my words?! response:	Look, if you're going to put honey on cucumbers to get the taste of melons,
context: Like hell it does!\You can put honey on a cucumber, but it's still a cucumber.\I should just go home.\Listen up, milord.\Only people with leeway can eat like this.\Don't you have any leeway in your heart?\Why are you twisting my words?!\Look, if you're going to put honey on cucumbers to get the taste of melons, response:	just go buy some melons!
