context: There was a bit of a commotion in town and we got separated. response:	Calm down. If you would, please tell me what happened in more detail.
context: Breaking my tiny shell one layer at a time\chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni response:	I'll leave who I was yesterday behind
context: chiisana kara nandomo nugisutete\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind response:	kinou no watashi wo koeru you ni
context: I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni response:	Unfurling my transparent wings to the sky
context: gamushara dake de owarasenai\I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky response:	toumei na tsubasa habatakasetara
context: I won't let my reckless abandon go to waste\gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara response:	Unfurling my transparent wings to the sky
context: gamushara dake de owarasenai\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky response:	toumei na tsubasa habatakasetara
context: I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara response:	I feel I can get closer to the tomorrow of my ideals
context: kinou no watashi wo koeru you ni\I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals response:	akogareteta ashita e kitto chikadzukeru ki ga shiterunda
context: I'll leave who I was yesterday behind\kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda response:	I feel I can get closer to the tomorrow of my ideals
context: kinou no watashi wo koeru you ni\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals response:	akogareteta ashita e kitto chikadzukeru ki ga shiterunda
context: Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda response:	Putting together the shards of a starry sky that I found
context: toumei na tsubasa habatakasetara\Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found response:	mitsuketa hoshizora no kakera musunde
context: Unfurling my transparent wings to the sky\toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde response:	Putting together the shards of a starry sky that I found
context: toumei na tsubasa habatakasetara\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\Putting together the shards of a starry sky that I found response:	mitsuketa hoshizora no kakera musunde
context: I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde response:	I'll keep on chasing my dream to learn even more
context: akogareteta ashita e kitto chikadzukeru ki ga shiterunda\I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\I'll keep on chasing my dream to learn even more response:	motto shiritai yume wo ou yo
context: I feel I can get closer to the tomorrow of my ideals\akogareteta ashita e kitto chikadzukeru ki ga shiterunda\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\Putting together the shards of a starry sky that I found\mitsuketa hoshizora no kakera musunde\I'll keep on chasing my dream to learn even more\motto shiritai yume wo ou yo response:	I'll keep on chasing my dream to learn even more
