context: There are several rules you must follow while traveling outside of Luna Nova. response:	Just because you will not be on campus does not mean you may forget your status as students.
context: That he would...\Raise her into a proper witch!\You okay?\That sound!\Th-Thanks for the help!\Where's the bell?!\What?\He was the bell ringer! response:	This way!
context: Raise her into a proper witch!\You okay?\That sound!\Th-Thanks for the help!\Where's the bell?!\What?\He was the bell ringer!\This way! response:	He broke his vow!
context: You okay?\That sound!\Th-Thanks for the help!\Where's the bell?!\What?\He was the bell ringer!\This way!\He broke his vow! response:	After he sent Miranda off to school, he never saw her again!
context: That sound!\Th-Thanks for the help!\Where's the bell?!\What?\He was the bell ringer!\This way!\He broke his vow!\After he sent Miranda off to school, he never saw her again! response:	He left her all alone!
context: Th-Thanks for the help!\Where's the bell?!\What?\He was the bell ringer!\This way!\He broke his vow!\After he sent Miranda off to school, he never saw her again!\He left her all alone! response:	That's awful!
context: Where's the bell?!\What?\He was the bell ringer!\This way!\He broke his vow!\After he sent Miranda off to school, he never saw her again!\He left her all alone!\That's awful! response:	Yes, he was!
context: What?\He was the bell ringer!\This way!\He broke his vow!\After he sent Miranda off to school, he never saw her again!\He left her all alone!\That's awful!\Yes, he was! response:	That's why I cannot forgive him!
context: He was the bell ringer!\This way!\He broke his vow!\After he sent Miranda off to school, he never saw her again!\He left her all alone!\That's awful!\Yes, he was!\That's why I cannot forgive him! response:	I won't! I'll never forgive him!
context: This way!\He broke his vow!\After he sent Miranda off to school, he never saw her again!\He left her all alone!\That's awful!\Yes, he was!\That's why I cannot forgive him!\I won't! I'll never forgive him! response:	Such a cute picture.
context: He broke his vow!\After he sent Miranda off to school, he never saw her again!\He left her all alone!\That's awful!\Yes, he was!\That's why I cannot forgive him!\I won't! I'll never forgive him!\Such a cute picture. response:	Shiny Rod
context: After he sent Miranda off to school, he never saw her again!\He left her all alone!\That's awful!\Yes, he was!\That's why I cannot forgive him!\I won't! I'll never forgive him!\Such a cute picture.\Shiny Rod response:	With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.
context: He left her all alone!\That's awful!\Yes, he was!\That's why I cannot forgive him!\I won't! I'll never forgive him!\Such a cute picture.\Shiny Rod\With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way. response:	With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.
context: That's awful!\Yes, he was!\That's why I cannot forgive him!\I won't! I'll never forgive him!\Such a cute picture.\Shiny Rod\With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.\With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way. response:	Seeing everyone's idol brings back memories.
context: Yes, he was!\That's why I cannot forgive him!\I won't! I'll never forgive him!\Such a cute picture.\Shiny Rod\With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.\With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.\Seeing everyone's idol brings back memories. response:	What about your amulet?
context: That's why I cannot forgive him!\I won't! I'll never forgive him!\Such a cute picture.\Shiny Rod\With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.\With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.\Seeing everyone's idol brings back memories.\What about your amulet? response:	What about it?
context: I won't! I'll never forgive him!\Such a cute picture.\Shiny Rod\With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.\With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.\Seeing everyone's idol brings back memories.\What about your amulet?\What about it? response:	Where is the rest of it?
context: Such a cute picture.\Shiny Rod\With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.\With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.\Seeing everyone's idol brings back memories.\What about your amulet?\What about it?\Where is the rest of it? response:	Who knows?
context: Shiny Rod\With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.\With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.\Seeing everyone's idol brings back memories.\What about your amulet?\What about it?\Where is the rest of it?\Who knows? response:	I wonder if it still exists.
context: With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.\With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.\Seeing everyone's idol brings back memories.\What about your amulet?\What about it?\Where is the rest of it?\Who knows?\I wonder if it still exists. response:	It could be anywhere, after all this time.
context: With one swirl of her staff above her head, she gathered light to make the sun and moon. Droplets of magic expanded into the stars and Milky Way.\Seeing everyone's idol brings back memories.\What about your amulet?\What about it?\Where is the rest of it?\Who knows?\I wonder if it still exists.\It could be anywhere, after all this time. response:	That's it for today.
context: Seeing everyone's idol brings back memories.\What about your amulet?\What about it?\Where is the rest of it?\Who knows?\I wonder if it still exists.\It could be anywhere, after all this time.\That's it for today. response:	Shall we take a stroll outside?
context: What about your amulet?\What about it?\Where is the rest of it?\Who knows?\I wonder if it still exists.\It could be anywhere, after all this time.\That's it for today.\Shall we take a stroll outside? response:	Show your face, you wretched toad!
context: What about it?\Where is the rest of it?\Who knows?\I wonder if it still exists.\It could be anywhere, after all this time.\That's it for today.\Shall we take a stroll outside?\Show your face, you wretched toad! response:	This view makes all of my worries feel trivial.
context: Where is the rest of it?\Who knows?\I wonder if it still exists.\It could be anywhere, after all this time.\That's it for today.\Shall we take a stroll outside?\Show your face, you wretched toad!\This view makes all of my worries feel trivial. response:	Like how you're bound for the underworld?
context: Who knows?\I wonder if it still exists.\It could be anywhere, after all this time.\That's it for today.\Shall we take a stroll outside?\Show your face, you wretched toad!\This view makes all of my worries feel trivial.\Like how you're bound for the underworld? response:	I wonder if this bell is out of use.
context: I wonder if it still exists.\It could be anywhere, after all this time.\That's it for today.\Shall we take a stroll outside?\Show your face, you wretched toad!\This view makes all of my worries feel trivial.\Like how you're bound for the underworld?\I wonder if this bell is out of use. response:	Huh? It's missing that thing inside.
context: It could be anywhere, after all this time.\That's it for today.\Shall we take a stroll outside?\Show your face, you wretched toad!\This view makes all of my worries feel trivial.\Like how you're bound for the underworld?\I wonder if this bell is out of use.\Huh? It's missing that thing inside. response:	The rod that rings the bell. Look
