context: Gods from across the country gather at the Divine Assembly in Izumo. response:	There's a decent chance one of those gods knows Mikage's whereabouts.
context: Lord Otohiko!\Lord Otohiko!\Lord Otohiko!\I hadn't planned for this.\I can't believe I got lost in here.\No matter how far I walk, everything looks the same.\Where did all the gods go?\I'm all alone, and without Mizuki or the Divine Assembly, I can't get to the meeting hall. response:	It's pathetic.
context: Lord Otohiko!\Lord Otohiko!\I hadn't planned for this.\I can't believe I got lost in here.\No matter how far I walk, everything looks the same.\Where did all the gods go?\I'm all alone, and without Mizuki or the Divine Assembly, I can't get to the meeting hall.\It's pathetic. response:	The light's going out! No way!
context: Lord Otohiko!\I hadn't planned for this.\I can't believe I got lost in here.\No matter how far I walk, everything looks the same.\Where did all the gods go?\I'm all alone, and without Mizuki or the Divine Assembly, I can't get to the meeting hall.\It's pathetic.\The light's going out! No way! response:	S-Someone...
context: I hadn't planned for this.\I can't believe I got lost in here.\No matter how far I walk, everything looks the same.\Where did all the gods go?\I'm all alone, and without Mizuki or the Divine Assembly, I can't get to the meeting hall.\It's pathetic.\The light's going out! No way!\S-Someone... response:	Is anyone there?
context: I can't believe I got lost in here.\No matter how far I walk, everything looks the same.\Where did all the gods go?\I'm all alone, and without Mizuki or the Divine Assembly, I can't get to the meeting hall.\It's pathetic.\The light's going out! No way!\S-Someone...\Is anyone there? response:	A-Anyone?
context: No matter how far I walk, everything looks the same.\Where did all the gods go?\I'm all alone, and without Mizuki or the Divine Assembly, I can't get to the meeting hall.\It's pathetic.\The light's going out! No way!\S-Someone...\Is anyone there?\A-Anyone? response:	Are you lost?
context: Where did all the gods go?\I'm all alone, and without Mizuki or the Divine Assembly, I can't get to the meeting hall.\It's pathetic.\The light's going out! No way!\S-Someone...\Is anyone there?\A-Anyone?\Are you lost? response:	Come. I'll show you the way.
context: I'm all alone, and without Mizuki or the Divine Assembly, I can't get to the meeting hall.\It's pathetic.\The light's going out! No way!\S-Someone...\Is anyone there?\A-Anyone?\Are you lost?\Come. I'll show you the way. response:	Who are you?
context: It's pathetic.\The light's going out! No way!\S-Someone...\Is anyone there?\A-Anyone?\Are you lost?\Come. I'll show you the way.\Who are you? response:	This is it.
context: The light's going out! No way!\S-Someone...\Is anyone there?\A-Anyone?\Are you lost?\Come. I'll show you the way.\Who are you?\This is it. response:	Beyond these doors is the chamber of the Divine Assembly.
context: S-Someone...\Is anyone there?\A-Anyone?\Are you lost?\Come. I'll show you the way.\Who are you?\This is it.\Beyond these doors is the chamber of the Divine Assembly. response:	Um...
context: Is anyone there?\A-Anyone?\Are you lost?\Come. I'll show you the way.\Who are you?\This is it.\Beyond these doors is the chamber of the Divine Assembly.\Um... response:	You're not going to attend the meeting?
context: A-Anyone?\Are you lost?\Come. I'll show you the way.\Who are you?\This is it.\Beyond these doors is the chamber of the Divine Assembly.\Um...\You're not going to attend the meeting? response:	I'm not attending.
context: Are you lost?\Come. I'll show you the way.\Who are you?\This is it.\Beyond these doors is the chamber of the Divine Assembly.\Um...\You're not going to attend the meeting?\I'm not attending. response:	Are you afraid, Miss Human God?
context: Come. I'll show you the way.\Who are you?\This is it.\Beyond these doors is the chamber of the Divine Assembly.\Um...\You're not going to attend the meeting?\I'm not attending.\Are you afraid, Miss Human God? response:	Even if I go in there, there may not be anything I can do.
context: Who are you?\This is it.\Beyond these doors is the chamber of the Divine Assembly.\Um...\You're not going to attend the meeting?\I'm not attending.\Are you afraid, Miss Human God?\Even if I go in there, there may not be anything I can do. response:	No god is truly omnipotent.
context: This is it.\Beyond these doors is the chamber of the Divine Assembly.\Um...\You're not going to attend the meeting?\I'm not attending.\Are you afraid, Miss Human God?\Even if I go in there, there may not be anything I can do.\No god is truly omnipotent. response:	They have their strengths and weaknesses.
context: Beyond these doors is the chamber of the Divine Assembly.\Um...\You're not going to attend the meeting?\I'm not attending.\Are you afraid, Miss Human God?\Even if I go in there, there may not be anything I can do.\No god is truly omnipotent.\They have their strengths and weaknesses. response:	That's why each has a role to play.
context: Um...\You're not going to attend the meeting?\I'm not attending.\Are you afraid, Miss Human God?\Even if I go in there, there may not be anything I can do.\No god is truly omnipotent.\They have their strengths and weaknesses.\That's why each has a role to play. response:	A role?
context: You're not going to attend the meeting?\I'm not attending.\Are you afraid, Miss Human God?\Even if I go in there, there may not be anything I can do.\No god is truly omnipotent.\They have their strengths and weaknesses.\That's why each has a role to play.\A role? response:	Lady Inaho is not industrious,
context: I'm not attending.\Are you afraid, Miss Human God?\Even if I go in there, there may not be anything I can do.\No god is truly omnipotent.\They have their strengths and weaknesses.\That's why each has a role to play.\A role?\Lady Inaho is not industrious, response:	and while the Three Fumigae Gods are well-learned, they have poor penmanship.
context: Are you afraid, Miss Human God?\Even if I go in there, there may not be anything I can do.\No god is truly omnipotent.\They have their strengths and weaknesses.\That's why each has a role to play.\A role?\Lady Inaho is not industrious,\and while the Three Fumigae Gods are well-learned, they have poor penmanship. response:	The War God is forbidding and aggressive, but he's a terrible singer.
context: Even if I go in there, there may not be anything I can do.\No god is truly omnipotent.\They have their strengths and weaknesses.\That's why each has a role to play.\A role?\Lady Inaho is not industrious,\and while the Three Fumigae Gods are well-learned, they have poor penmanship.\The War God is forbidding and aggressive, but he's a terrible singer. response:	Huh...
context: No god is truly omnipotent.\They have their strengths and weaknesses.\That's why each has a role to play.\A role?\Lady Inaho is not industrious,\and while the Three Fumigae Gods are well-learned, they have poor penmanship.\The War God is forbidding and aggressive, but he's a terrible singer.\Huh... response:	But each has something they excel at.
context: They have their strengths and weaknesses.\That's why each has a role to play.\A role?\Lady Inaho is not industrious,\and while the Three Fumigae Gods are well-learned, they have poor penmanship.\The War God is forbidding and aggressive, but he's a terrible singer.\Huh...\But each has something they excel at. response:	And so do you.
context: That's why each has a role to play.\A role?\Lady Inaho is not industrious,\and while the Three Fumigae Gods are well-learned, they have poor penmanship.\The War God is forbidding and aggressive, but he's a terrible singer.\Huh...\But each has something they excel at.\And so do you. response:	Of all the gods, you alone can see through the eyes of man.
context: A role?\Lady Inaho is not industrious,\and while the Three Fumigae Gods are well-learned, they have poor penmanship.\The War God is forbidding and aggressive, but he's a terrible singer.\Huh...\But each has something they excel at.\And so do you.\Of all the gods, you alone can see through the eyes of man. response:	You can sympathize with humans, sit next to them, and put your arm around their shoulders.
context: Lady Inaho is not industrious,\and while the Three Fumigae Gods are well-learned, they have poor penmanship.\The War God is forbidding and aggressive, but he's a terrible singer.\Huh...\But each has something they excel at.\And so do you.\Of all the gods, you alone can see through the eyes of man.\You can sympathize with humans, sit next to them, and put your arm around their shoulders. response:	That is your strength.
context: and while the Three Fumigae Gods are well-learned, they have poor penmanship.\The War God is forbidding and aggressive, but he's a terrible singer.\Huh...\But each has something they excel at.\And so do you.\Of all the gods, you alone can see through the eyes of man.\You can sympathize with humans, sit next to them, and put your arm around their shoulders.\That is your strength. response:	No one else can do that.
context: The War God is forbidding and aggressive, but he's a terrible singer.\Huh...\But each has something they excel at.\And so do you.\Of all the gods, you alone can see through the eyes of man.\You can sympathize with humans, sit next to them, and put your arm around their shoulders.\That is your strength.\No one else can do that. response:	Attend the Divine Assembly, and you will surely see.
context: Huh...\But each has something they excel at.\And so do you.\Of all the gods, you alone can see through the eyes of man.\You can sympathize with humans, sit next to them, and put your arm around their shoulders.\That is your strength.\No one else can do that.\Attend the Divine Assembly, and you will surely see. response:	Second Sight
context: But each has something they excel at.\And so do you.\Of all the gods, you alone can see through the eyes of man.\You can sympathize with humans, sit next to them, and put your arm around their shoulders.\That is your strength.\No one else can do that.\Attend the Divine Assembly, and you will surely see.\Second Sight response:	So speak your mind proudly as a participant of the Divine Assembly.
context: And so do you.\Of all the gods, you alone can see through the eyes of man.\You can sympathize with humans, sit next to them, and put your arm around their shoulders.\That is your strength.\No one else can do that.\Attend the Divine Assembly, and you will surely see.\Second Sight\So speak your mind proudly as a participant of the Divine Assembly. response:	I will.
context: Of all the gods, you alone can see through the eyes of man.\You can sympathize with humans, sit next to them, and put your arm around their shoulders.\That is your strength.\No one else can do that.\Attend the Divine Assembly, and you will surely see.\Second Sight\So speak your mind proudly as a participant of the Divine Assembly.\I will. response:	Thank you very much.
context: You can sympathize with humans, sit next to them, and put your arm around their shoulders.\That is your strength.\No one else can do that.\Attend the Divine Assembly, and you will surely see.\Second Sight\So speak your mind proudly as a participant of the Divine Assembly.\I will.\Thank you very much. response:	Oh, wait. At least tell me your name.
context: That is your strength.\No one else can do that.\Attend the Divine Assembly, and you will surely see.\Second Sight\So speak your mind proudly as a participant of the Divine Assembly.\I will.\Thank you very much.\Oh, wait. At least tell me your name. response:	Even once I open these doors,
context: No one else can do that.\Attend the Divine Assembly, and you will surely see.\Second Sight\So speak your mind proudly as a participant of the Divine Assembly.\I will.\Thank you very much.\Oh, wait. At least tell me your name.\Even once I open these doors, response:	there will surely be something that I can do.
context: Attend the Divine Assembly, and you will surely see.\Second Sight\So speak your mind proudly as a participant of the Divine Assembly.\I will.\Thank you very much.\Oh, wait. At least tell me your name.\Even once I open these doors,\there will surely be something that I can do. response:	Pardon me for being late.
