context: Would you go to Europe together with me? response:	Why do I have to study to the point of doing all those things?
context: Megumi's condition began to become strange...\The teacher gave extremely strict lesson\Megumi didn't like going to the piano classroom anymore.\One day that incident happened...\This hand is wrong! This hand!!\This hand is bad!..\Ouch!!\Although the teacher apologized many many times, response:	from that day Megumi hardly played the piano anymore...
context: The teacher gave extremely strict lesson\Megumi didn't like going to the piano classroom anymore.\One day that incident happened...\This hand is wrong! This hand!!\This hand is bad!..\Ouch!!\Although the teacher apologized many many times,\from that day Megumi hardly played the piano anymore... response:	just like she was, before yesterday...
context: Megumi didn't like going to the piano classroom anymore.\One day that incident happened...\This hand is wrong! This hand!!\This hand is bad!..\Ouch!!\Although the teacher apologized many many times,\from that day Megumi hardly played the piano anymore...\just like she was, before yesterday... response:	Isn't Megumi suitable for this (music) world?
context: One day that incident happened...\This hand is wrong! This hand!!\This hand is bad!..\Ouch!!\Although the teacher apologized many many times,\from that day Megumi hardly played the piano anymore...\just like she was, before yesterday...\Isn't Megumi suitable for this (music) world? response:	To be a professional pianist...
context: This hand is wrong! This hand!!\This hand is bad!..\Ouch!!\Although the teacher apologized many many times,\from that day Megumi hardly played the piano anymore...\just like she was, before yesterday...\Isn't Megumi suitable for this (music) world?\To be a professional pianist... response:	is not only to play the piano as one enjoys it, is it?
context: This hand is bad!..\Ouch!!\Although the teacher apologized many many times,\from that day Megumi hardly played the piano anymore...\just like she was, before yesterday...\Isn't Megumi suitable for this (music) world?\To be a professional pianist...\is not only to play the piano as one enjoys it, is it? response:	A wound...inflicted in childhood..
context: Ouch!!\Although the teacher apologized many many times,\from that day Megumi hardly played the piano anymore...\just like she was, before yesterday...\Isn't Megumi suitable for this (music) world?\To be a professional pianist...\is not only to play the piano as one enjoys it, is it?\A wound...inflicted in childhood.. response:	She will be fine.
context: Although the teacher apologized many many times,\from that day Megumi hardly played the piano anymore...\just like she was, before yesterday...\Isn't Megumi suitable for this (music) world?\To be a professional pianist...\is not only to play the piano as one enjoys it, is it?\A wound...inflicted in childhood..\She will be fine. response:	Even so, she's still playing the piano, isn't she?
context: from that day Megumi hardly played the piano anymore...\just like she was, before yesterday...\Isn't Megumi suitable for this (music) world?\To be a professional pianist...\is not only to play the piano as one enjoys it, is it?\A wound...inflicted in childhood..\She will be fine.\Even so, she's still playing the piano, isn't she? response:	In the end...
context: just like she was, before yesterday...\Isn't Megumi suitable for this (music) world?\To be a professional pianist...\is not only to play the piano as one enjoys it, is it?\A wound...inflicted in childhood..\She will be fine.\Even so, she's still playing the piano, isn't she?\In the end... response:	regardless the teacher is strict or not,
context: Isn't Megumi suitable for this (music) world?\To be a professional pianist...\is not only to play the piano as one enjoys it, is it?\A wound...inflicted in childhood..\She will be fine.\Even so, she's still playing the piano, isn't she?\In the end...\regardless the teacher is strict or not, response:	if one is no good, he will be no good,
context: To be a professional pianist...\is not only to play the piano as one enjoys it, is it?\A wound...inflicted in childhood..\She will be fine.\Even so, she's still playing the piano, isn't she?\In the end...\regardless the teacher is strict or not,\if one is no good, he will be no good, response:	even if one wants to be a professional pianist, it doesn't mean he can become one...
context: is not only to play the piano as one enjoys it, is it?\A wound...inflicted in childhood..\She will be fine.\Even so, she's still playing the piano, isn't she?\In the end...\regardless the teacher is strict or not,\if one is no good, he will be no good,\even if one wants to be a professional pianist, it doesn't mean he can become one... response:	it is this kind of world.
context: A wound...inflicted in childhood..\She will be fine.\Even so, she's still playing the piano, isn't she?\In the end...\regardless the teacher is strict or not,\if one is no good, he will be no good,\even if one wants to be a professional pianist, it doesn't mean he can become one...\it is this kind of world. response:	Whether we will succeed or not, we have no idea.
context: She will be fine.\Even so, she's still playing the piano, isn't she?\In the end...\regardless the teacher is strict or not,\if one is no good, he will be no good,\even if one wants to be a professional pianist, it doesn't mean he can become one...\it is this kind of world.\Whether we will succeed or not, we have no idea. response:	Neither I nor she know..
context: Even so, she's still playing the piano, isn't she?\In the end...\regardless the teacher is strict or not,\if one is no good, he will be no good,\even if one wants to be a professional pianist, it doesn't mean he can become one...\it is this kind of world.\Whether we will succeed or not, we have no idea.\Neither I nor she know.. response:	But..
context: In the end...\regardless the teacher is strict or not,\if one is no good, he will be no good,\even if one wants to be a professional pianist, it doesn't mean he can become one...\it is this kind of world.\Whether we will succeed or not, we have no idea.\Neither I nor she know..\But.. response:	I really love her piano very much! (READ: I love her very much)
context: regardless the teacher is strict or not,\if one is no good, he will be no good,\even if one wants to be a professional pianist, it doesn't mean he can become one...\it is this kind of world.\Whether we will succeed or not, we have no idea.\Neither I nor she know..\But..\I really love her piano very much! (READ: I love her very much) response:	Shinichi-kun the idiot!!!
context: if one is no good, he will be no good,\even if one wants to be a professional pianist, it doesn't mean he can become one...\it is this kind of world.\Whether we will succeed or not, we have no idea.\Neither I nor she know..\But..\I really love her piano very much! (READ: I love her very much)\Shinichi-kun the idiot!!! response:	Who's the one idiot?
context: even if one wants to be a professional pianist, it doesn't mean he can become one...\it is this kind of world.\Whether we will succeed or not, we have no idea.\Neither I nor she know..\But..\I really love her piano very much! (READ: I love her very much)\Shinichi-kun the idiot!!!\Who's the one idiot? response:	You...you love (her) so much?
context: it is this kind of world.\Whether we will succeed or not, we have no idea.\Neither I nor she know..\But..\I really love her piano very much! (READ: I love her very much)\Shinichi-kun the idiot!!!\Who's the one idiot?\You...you love (her) so much? response:	Huh?
context: Whether we will succeed or not, we have no idea.\Neither I nor she know..\But..\I really love her piano very much! (READ: I love her very much)\Shinichi-kun the idiot!!!\Who's the one idiot?\You...you love (her) so much?\Huh? response:	My son!
context: Neither I nor she know..\But..\I really love her piano very much! (READ: I love her very much)\Shinichi-kun the idiot!!!\Who's the one idiot?\You...you love (her) so much?\Huh?\My son! response:	Hai!
context: But..\I really love her piano very much! (READ: I love her very much)\Shinichi-kun the idiot!!!\Who's the one idiot?\You...you love (her) so much?\Huh?\My son!\Hai! response:	My son!!! MY SON!!!
