context: Master. response:	I cleaned up the elixir cauldron chamber.
context: once Father breaks out of the bell\he will burn all four seas with crimson hellfire?\Now that the Ghost Realm is in chaos\the clan leaders can't suppress the riots anymore.\Li Jing, we have no time to lose.\If Father really breaks out of the bell our people will all support him.\By then, it will be too late to ask the Celestial Tribe for help!\I know. response:	Li Jing, tell me more.
context: he will burn all four seas with crimson hellfire?\Now that the Ghost Realm is in chaos\the clan leaders can't suppress the riots anymore.\Li Jing, we have no time to lose.\If Father really breaks out of the bell our people will all support him.\By then, it will be too late to ask the Celestial Tribe for help!\I know.\Li Jing, tell me more. response:	Let me know what you think.
context: Now that the Ghost Realm is in chaos\the clan leaders can't suppress the riots anymore.\Li Jing, we have no time to lose.\If Father really breaks out of the bell our people will all support him.\By then, it will be too late to ask the Celestial Tribe for help!\I know.\Li Jing, tell me more.\Let me know what you think. response:	Otherwise, I'll be worried sick!
context: the clan leaders can't suppress the riots anymore.\Li Jing, we have no time to lose.\If Father really breaks out of the bell our people will all support him.\By then, it will be too late to ask the Celestial Tribe for help!\I know.\Li Jing, tell me more.\Let me know what you think.\Otherwise, I'll be worried sick! response:	Yan Zhi, do you know that A-Yin and the Crown Prince will soon be married?
context: Li Jing, we have no time to lose.\If Father really breaks out of the bell our people will all support him.\By then, it will be too late to ask the Celestial Tribe for help!\I know.\Li Jing, tell me more.\Let me know what you think.\Otherwise, I'll be worried sick!\Yan Zhi, do you know that A-Yin and the Crown Prince will soon be married? response:	They are already engaged.
context: If Father really breaks out of the bell our people will all support him.\By then, it will be too late to ask the Celestial Tribe for help!\I know.\Li Jing, tell me more.\Let me know what you think.\Otherwise, I'll be worried sick!\Yan Zhi, do you know that A-Yin and the Crown Prince will soon be married?\They are already engaged. response:	This is also a marriage bond between the Celestial Tribe and Qing Qiu.
context: By then, it will be too late to ask the Celestial Tribe for help!\I know.\Li Jing, tell me more.\Let me know what you think.\Otherwise, I'll be worried sick!\Yan Zhi, do you know that A-Yin and the Crown Prince will soon be married?\They are already engaged.\This is also a marriage bond between the Celestial Tribe and Qing Qiu. response:	It will be the most glamorous wedding in all the realms.
context: I know.\Li Jing, tell me more.\Let me know what you think.\Otherwise, I'll be worried sick!\Yan Zhi, do you know that A-Yin and the Crown Prince will soon be married?\They are already engaged.\This is also a marriage bond between the Celestial Tribe and Qing Qiu.\It will be the most glamorous wedding in all the realms. response:	I had once thought that as a prince of the Ghost Tribe...
context: Li Jing, tell me more.\Let me know what you think.\Otherwise, I'll be worried sick!\Yan Zhi, do you know that A-Yin and the Crown Prince will soon be married?\They are already engaged.\This is also a marriage bond between the Celestial Tribe and Qing Qiu.\It will be the most glamorous wedding in all the realms.\I had once thought that as a prince of the Ghost Tribe... response:	I'd give the woman I love the best wedding ever seen.
context: Let me know what you think.\Otherwise, I'll be worried sick!\Yan Zhi, do you know that A-Yin and the Crown Prince will soon be married?\They are already engaged.\This is also a marriage bond between the Celestial Tribe and Qing Qiu.\It will be the most glamorous wedding in all the realms.\I had once thought that as a prince of the Ghost Tribe...\I'd give the woman I love the best wedding ever seen. response:	Yet it seems so ridiculous when compared to Ye Hua.
context: Otherwise, I'll be worried sick!\Yan Zhi, do you know that A-Yin and the Crown Prince will soon be married?\They are already engaged.\This is also a marriage bond between the Celestial Tribe and Qing Qiu.\It will be the most glamorous wedding in all the realms.\I had once thought that as a prince of the Ghost Tribe...\I'd give the woman I love the best wedding ever seen.\Yet it seems so ridiculous when compared to Ye Hua. response:	Li Jing, I know that all you care about is High God Bai Qian.
context: Yan Zhi, do you know that A-Yin and the Crown Prince will soon be married?\They are already engaged.\This is also a marriage bond between the Celestial Tribe and Qing Qiu.\It will be the most glamorous wedding in all the realms.\I had once thought that as a prince of the Ghost Tribe...\I'd give the woman I love the best wedding ever seen.\Yet it seems so ridiculous when compared to Ye Hua.\Li Jing, I know that all you care about is High God Bai Qian. response:	But...
context: They are already engaged.\This is also a marriage bond between the Celestial Tribe and Qing Qiu.\It will be the most glamorous wedding in all the realms.\I had once thought that as a prince of the Ghost Tribe...\I'd give the woman I love the best wedding ever seen.\Yet it seems so ridiculous when compared to Ye Hua.\Li Jing, I know that all you care about is High God Bai Qian.\But... response:	Now that High God Mo Yuan has been revived...
context: This is also a marriage bond between the Celestial Tribe and Qing Qiu.\It will be the most glamorous wedding in all the realms.\I had once thought that as a prince of the Ghost Tribe...\I'd give the woman I love the best wedding ever seen.\Yet it seems so ridiculous when compared to Ye Hua.\Li Jing, I know that all you care about is High God Bai Qian.\But...\Now that High God Mo Yuan has been revived... response:	A-Yin must be so thrilled in Kunlun Mountain.
context: It will be the most glamorous wedding in all the realms.\I had once thought that as a prince of the Ghost Tribe...\I'd give the woman I love the best wedding ever seen.\Yet it seems so ridiculous when compared to Ye Hua.\Li Jing, I know that all you care about is High God Bai Qian.\But...\Now that High God Mo Yuan has been revived...\A-Yin must be so thrilled in Kunlun Mountain. response:	High God Mo Yuan has been revived?
context: I had once thought that as a prince of the Ghost Tribe...\I'd give the woman I love the best wedding ever seen.\Yet it seems so ridiculous when compared to Ye Hua.\Li Jing, I know that all you care about is High God Bai Qian.\But...\Now that High God Mo Yuan has been revived...\A-Yin must be so thrilled in Kunlun Mountain.\High God Mo Yuan has been revived? response:	That's good.
context: I'd give the woman I love the best wedding ever seen.\Yet it seems so ridiculous when compared to Ye Hua.\Li Jing, I know that all you care about is High God Bai Qian.\But...\Now that High God Mo Yuan has been revived...\A-Yin must be so thrilled in Kunlun Mountain.\High God Mo Yuan has been revived?\That's good. response:	Li Jing, we'll tell High God Mo Yuan
context: Yet it seems so ridiculous when compared to Ye Hua.\Li Jing, I know that all you care about is High God Bai Qian.\But...\Now that High God Mo Yuan has been revived...\A-Yin must be so thrilled in Kunlun Mountain.\High God Mo Yuan has been revived?\That's good.\Li Jing, we'll tell High God Mo Yuan response:	that our lives enhance the powers of our father.
context: Li Jing, I know that all you care about is High God Bai Qian.\But...\Now that High God Mo Yuan has been revived...\A-Yin must be so thrilled in Kunlun Mountain.\High God Mo Yuan has been revived?\That's good.\Li Jing, we'll tell High God Mo Yuan\that our lives enhance the powers of our father. response:	Inform Kunlun Mountain that our father's power increased
context: But...\Now that High God Mo Yuan has been revived...\A-Yin must be so thrilled in Kunlun Mountain.\High God Mo Yuan has been revived?\That's good.\Li Jing, we'll tell High God Mo Yuan\that our lives enhance the powers of our father.\Inform Kunlun Mountain that our father's power increased response:	after the death of Li Yuan.
context: Now that High God Mo Yuan has been revived...\A-Yin must be so thrilled in Kunlun Mountain.\High God Mo Yuan has been revived?\That's good.\Li Jing, we'll tell High God Mo Yuan\that our lives enhance the powers of our father.\Inform Kunlun Mountain that our father's power increased\after the death of Li Yuan. response:	The bell won't keep him sealed for much longer.
