context: I finally made it to the magic academy, Luna Nova! response:	You only told us about a hundred times last night.
context: A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic response:	A Believing Heart Is Your Magic
context: A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic response:	A believing heart is your magic...
context: A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A believing heart is your magic... response:	There was just one premium card I was never able to get.
context: A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A believing heart is your magic...\There was just one premium card I was never able to get. response:	I wanted it so badly, too.
context: A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A believing heart is your magic...\There was just one premium card I was never able to get.\I wanted it so badly, too. response:	The mushroom of recalling lost love.
context: A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A believing heart is your magic...\There was just one premium card I was never able to get.\I wanted it so badly, too.\The mushroom of recalling lost love. response:	It's a unicorn.
context: A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A believing heart is your magic...\There was just one premium card I was never able to get.\I wanted it so badly, too.\The mushroom of recalling lost love.\It's a unicorn. response:	The immortal holy beast that protects maidens' happiness.
context: A Believing Heart Is Your Magic\A Believing Heart Is Your Magic\A believing heart is your magic...\There was just one premium card I was never able to get.\I wanted it so badly, too.\The mushroom of recalling lost love.\It's a unicorn.\The immortal holy beast that protects maidens' happiness. response:	You have it memorized?
context: A Believing Heart Is Your Magic\A believing heart is your magic...\There was just one premium card I was never able to get.\I wanted it so badly, too.\The mushroom of recalling lost love.\It's a unicorn.\The immortal holy beast that protects maidens' happiness.\You have it memorized? response:	Of course, I remember all of them.
context: A believing heart is your magic...\There was just one premium card I was never able to get.\I wanted it so badly, too.\The mushroom of recalling lost love.\It's a unicorn.\The immortal holy beast that protects maidens' happiness.\You have it memorized?\Of course, I remember all of them. response:	Though I always had trouble with the spell pronunciations.
context: There was just one premium card I was never able to get.\I wanted it so badly, too.\The mushroom of recalling lost love.\It's a unicorn.\The immortal holy beast that protects maidens' happiness.\You have it memorized?\Of course, I remember all of them.\Though I always had trouble with the spell pronunciations. response:	Oh, I know this one. It's the magic butterfly.
context: I wanted it so badly, too.\The mushroom of recalling lost love.\It's a unicorn.\The immortal holy beast that protects maidens' happiness.\You have it memorized?\Of course, I remember all of them.\Though I always had trouble with the spell pronunciations.\Oh, I know this one. It's the magic butterfly. response:	Papilliodya.
context: The mushroom of recalling lost love.\It's a unicorn.\The immortal holy beast that protects maidens' happiness.\You have it memorized?\Of course, I remember all of them.\Though I always had trouble with the spell pronunciations.\Oh, I know this one. It's the magic butterfly.\Papilliodya. response:	Papilliodya
context: It's a unicorn.\The immortal holy beast that protects maidens' happiness.\You have it memorized?\Of course, I remember all of them.\Though I always had trouble with the spell pronunciations.\Oh, I know this one. It's the magic butterfly.\Papilliodya.\Papilliodya response:	Papilliodya
context: The immortal holy beast that protects maidens' happiness.\You have it memorized?\Of course, I remember all of them.\Though I always had trouble with the spell pronunciations.\Oh, I know this one. It's the magic butterfly.\Papilliodya.\Papilliodya\Papilliodya response:	Papilliodya
context: You have it memorized?\Of course, I remember all of them.\Though I always had trouble with the spell pronunciations.\Oh, I know this one. It's the magic butterfly.\Papilliodya.\Papilliodya\Papilliodya\Papilliodya response:	Papilliodya
context: Of course, I remember all of them.\Though I always had trouble with the spell pronunciations.\Oh, I know this one. It's the magic butterfly.\Papilliodya.\Papilliodya\Papilliodya\Papilliodya\Papilliodya response:	Papilliodya
context: Though I always had trouble with the spell pronunciations.\Oh, I know this one. It's the magic butterfly.\Papilliodya.\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya response:	Papilliodya
context: Oh, I know this one. It's the magic butterfly.\Papilliodya.\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya response:	Papilliodya
context: Papilliodya.\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya response:	Papilliodya
context: Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya response:	Papilliodya
context: Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya response:	The butterfly that travels the five continents.
context: Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\The butterfly that travels the five continents. response:	They emerge only once every hundred-twenty years,
context: Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\The butterfly that travels the five continents.\They emerge only once every hundred-twenty years, response:	and legend says they bring hope to the hearts of all who behold them.
context: Papilliodya\Papilliodya\Papilliodya\Papilliodya\Papilliodya\The butterfly that travels the five continents.\They emerge only once every hundred-twenty years,\and legend says they bring hope to the hearts of all who behold them. response:	It's quite weakened.
context: Papilliodya\Papilliodya\Papilliodya\Papilliodya\The butterfly that travels the five continents.\They emerge only once every hundred-twenty years,\and legend says they bring hope to the hearts of all who behold them.\It's quite weakened. response:	Professor Ursula. Has your research revealed anything about the origin of its affliction?
context: Papilliodya\Papilliodya\Papilliodya\The butterfly that travels the five continents.\They emerge only once every hundred-twenty years,\and legend says they bring hope to the hearts of all who behold them.\It's quite weakened.\Professor Ursula. Has your research revealed anything about the origin of its affliction? response:	Y-Yes, I believe that its current state of weakness is only temporary.
context: Papilliodya\Papilliodya\The butterfly that travels the five continents.\They emerge only once every hundred-twenty years,\and legend says they bring hope to the hearts of all who behold them.\It's quite weakened.\Professor Ursula. Has your research revealed anything about the origin of its affliction?\Y-Yes, I believe that its current state of weakness is only temporary. response:	Once the cause of it leaves...
context: Papilliodya\The butterfly that travels the five continents.\They emerge only once every hundred-twenty years,\and legend says they bring hope to the hearts of all who behold them.\It's quite weakened.\Professor Ursula. Has your research revealed anything about the origin of its affliction?\Y-Yes, I believe that its current state of weakness is only temporary.\Once the cause of it leaves... response:	The cause of it? Have you unearthed some information?
context: The butterfly that travels the five continents.\They emerge only once every hundred-twenty years,\and legend says they bring hope to the hearts of all who behold them.\It's quite weakened.\Professor Ursula. Has your research revealed anything about the origin of its affliction?\Y-Yes, I believe that its current state of weakness is only temporary.\Once the cause of it leaves...\The cause of it? Have you unearthed some information? response:	I would like to dig a bit deeper first...
context: They emerge only once every hundred-twenty years,\and legend says they bring hope to the hearts of all who behold them.\It's quite weakened.\Professor Ursula. Has your research revealed anything about the origin of its affliction?\Y-Yes, I believe that its current state of weakness is only temporary.\Once the cause of it leaves...\The cause of it? Have you unearthed some information?\I would like to dig a bit deeper first... response:	Please determine the full truth.
