context: Once in a while when I wake up response:	I find myself crying.
context: There it is!\It's really there!\It wasn't just a dream!\From here is the underworld.\It's the sake we brought.\This is my sister's, and this is mine.\This was before the comet... So the Mitsuha I know is from 3 years ago?\Our timelines weren't in sync. response:	Half of her...
context: It's really there!\It wasn't just a dream!\From here is the underworld.\It's the sake we brought.\This is my sister's, and this is mine.\This was before the comet... So the Mitsuha I know is from 3 years ago?\Our timelines weren't in sync.\Half of her... response:	Musubi.
context: It wasn't just a dream!\From here is the underworld.\It's the sake we brought.\This is my sister's, and this is mine.\This was before the comet... So the Mitsuha I know is from 3 years ago?\Our timelines weren't in sync.\Half of her...\Musubi. response:	If time can really be turned back
context: From here is the underworld.\It's the sake we brought.\This is my sister's, and this is mine.\This was before the comet... So the Mitsuha I know is from 3 years ago?\Our timelines weren't in sync.\Half of her...\Musubi.\If time can really be turned back response:	give me one last chance...
context: It's the sake we brought.\This is my sister's, and this is mine.\This was before the comet... So the Mitsuha I know is from 3 years ago?\Our timelines weren't in sync.\Half of her...\Musubi.\If time can really be turned back\give me one last chance... response:	The comet!
context: This is my sister's, and this is mine.\This was before the comet... So the Mitsuha I know is from 3 years ago?\Our timelines weren't in sync.\Half of her...\Musubi.\If time can really be turned back\give me one last chance...\The comet! response:	Your name is Mitsuha.
context: This was before the comet... So the Mitsuha I know is from 3 years ago?\Our timelines weren't in sync.\Half of her...\Musubi.\If time can really be turned back\give me one last chance...\The comet!\Your name is Mitsuha. response:	You're both my treasures.
context: Our timelines weren't in sync.\Half of her...\Musubi.\If time can really be turned back\give me one last chance...\The comet!\Your name is Mitsuha.\You're both my treasures. response:	You're a big sister now.
context: Half of her...\Musubi.\If time can really be turned back\give me one last chance...\The comet!\Your name is Mitsuha.\You're both my treasures.\You're a big sister now. response:	Get well soon, Mom
context: Musubi.\If time can really be turned back\give me one last chance...\The comet!\Your name is Mitsuha.\You're both my treasures.\You're a big sister now.\Get well soon, Mom response:	I'm so sorry, my dears.
context: If time can really be turned back\give me one last chance...\The comet!\Your name is Mitsuha.\You're both my treasures.\You're a big sister now.\Get well soon, Mom\I'm so sorry, my dears. response:	Dad, when is Mom going to come home?
context: give me one last chance...\The comet!\Your name is Mitsuha.\You're both my treasures.\You're a big sister now.\Get well soon, Mom\I'm so sorry, my dears.\Dad, when is Mom going to come home? response:	I couldn't save her.
context: The comet!\Your name is Mitsuha.\You're both my treasures.\You're a big sister now.\Get well soon, Mom\I'm so sorry, my dears.\Dad, when is Mom going to come home?\I couldn't save her. response:	Get a hold of yourself!
context: Your name is Mitsuha.\You're both my treasures.\You're a big sister now.\Get well soon, Mom\I'm so sorry, my dears.\Dad, when is Mom going to come home?\I couldn't save her.\Get a hold of yourself! response:	Who cares about the shrine?
context: You're both my treasures.\You're a big sister now.\Get well soon, Mom\I'm so sorry, my dears.\Dad, when is Mom going to come home?\I couldn't save her.\Get a hold of yourself!\Who cares about the shrine? response:	You're the adopted son-in-law!
context: You're a big sister now.\Get well soon, Mom\I'm so sorry, my dears.\Dad, when is Mom going to come home?\I couldn't save her.\Get a hold of yourself!\Who cares about the shrine?\You're the adopted son-in-law! response:	I loved my wife. Not the Miyamizu Shrine.
context: Get well soon, Mom\I'm so sorry, my dears.\Dad, when is Mom going to come home?\I couldn't save her.\Get a hold of yourself!\Who cares about the shrine?\You're the adopted son-in-law!\I loved my wife. Not the Miyamizu Shrine. response:	Get out of here!
context: I'm so sorry, my dears.\Dad, when is Mom going to come home?\I couldn't save her.\Get a hold of yourself!\Who cares about the shrine?\You're the adopted son-in-law!\I loved my wife. Not the Miyamizu Shrine.\Get out of here! response:	Mitsuha, Yotsuha
context: Dad, when is Mom going to come home?\I couldn't save her.\Get a hold of yourself!\Who cares about the shrine?\You're the adopted son-in-law!\I loved my wife. Not the Miyamizu Shrine.\Get out of here!\Mitsuha, Yotsuha response:	you'll be with Grandma from now on.
context: I couldn't save her.\Get a hold of yourself!\Who cares about the shrine?\You're the adopted son-in-law!\I loved my wife. Not the Miyamizu Shrine.\Get out of here!\Mitsuha, Yotsuha\you'll be with Grandma from now on. response:	Who are you?
context: Get a hold of yourself!\Who cares about the shrine?\You're the adopted son-in-law!\I loved my wife. Not the Miyamizu Shrine.\Get out of here!\Mitsuha, Yotsuha\you'll be with Grandma from now on.\Who are you? response:	Fool
context: Who cares about the shrine?\You're the adopted son-in-law!\I loved my wife. Not the Miyamizu Shrine.\Get out of here!\Mitsuha, Yotsuha\you'll be with Grandma from now on.\Who are you?\Fool response:	He's so lucky. They must be together around now...
context: You're the adopted son-in-law!\I loved my wife. Not the Miyamizu Shrine.\Get out of here!\Mitsuha, Yotsuha\you'll be with Grandma from now on.\Who are you?\Fool\He's so lucky. They must be together around now... response:	I'm going to Tokyo.
context: I loved my wife. Not the Miyamizu Shrine.\Get out of here!\Mitsuha, Yotsuha\you'll be with Grandma from now on.\Who are you?\Fool\He's so lucky. They must be together around now...\I'm going to Tokyo. response:	What? Hey, Mitsuha!
context: Get out of here!\Mitsuha, Yotsuha\you'll be with Grandma from now on.\Who are you?\Fool\He's so lucky. They must be together around now...\I'm going to Tokyo.\What? Hey, Mitsuha! response:	Grandma, could you do me a favor?
context: Mitsuha, Yotsuha\you'll be with Grandma from now on.\Who are you?\Fool\He's so lucky. They must be together around now...\I'm going to Tokyo.\What? Hey, Mitsuha!\Grandma, could you do me a favor? response:	Oh yeah, the comet.
context: you'll be with Grandma from now on.\Who are you?\Fool\He's so lucky. They must be together around now...\I'm going to Tokyo.\What? Hey, Mitsuha!\Grandma, could you do me a favor?\Oh yeah, the comet. response:	Today's the peak of its brightness...
context: Who are you?\Fool\He's so lucky. They must be together around now...\I'm going to Tokyo.\What? Hey, Mitsuha!\Grandma, could you do me a favor?\Oh yeah, the comet.\Today's the peak of its brightness... response:	Mitsuha! Don't stay there!
context: Fool\He's so lucky. They must be together around now...\I'm going to Tokyo.\What? Hey, Mitsuha!\Grandma, could you do me a favor?\Oh yeah, the comet.\Today's the peak of its brightness...\Mitsuha! Don't stay there! response:	Mitsuha, get out of there before the comet strikes!
context: He's so lucky. They must be together around now...\I'm going to Tokyo.\What? Hey, Mitsuha!\Grandma, could you do me a favor?\Oh yeah, the comet.\Today's the peak of its brightness...\Mitsuha! Don't stay there!\Mitsuha, get out of there before the comet strikes! response:	Mitsuha, get out of there!
context: I'm going to Tokyo.\What? Hey, Mitsuha!\Grandma, could you do me a favor?\Oh yeah, the comet.\Today's the peak of its brightness...\Mitsuha! Don't stay there!\Mitsuha, get out of there before the comet strikes!\Mitsuha, get out of there! response:	Mitsuha! Mitsuha!
context: What? Hey, Mitsuha!\Grandma, could you do me a favor?\Oh yeah, the comet.\Today's the peak of its brightness...\Mitsuha! Don't stay there!\Mitsuha, get out of there before the comet strikes!\Mitsuha, get out of there!\Mitsuha! Mitsuha! response:	Mitsuha!
context: Grandma, could you do me a favor?\Oh yeah, the comet.\Today's the peak of its brightness...\Mitsuha! Don't stay there!\Mitsuha, get out of there before the comet strikes!\Mitsuha, get out of there!\Mitsuha! Mitsuha!\Mitsuha! response:	I'm Mitsuha. She's still alive!
context: Oh yeah, the comet.\Today's the peak of its brightness...\Mitsuha! Don't stay there!\Mitsuha, get out of there before the comet strikes!\Mitsuha, get out of there!\Mitsuha! Mitsuha!\Mitsuha!\I'm Mitsuha. She's still alive! response:	Mitsuha, are you touching...
context: Today's the peak of its brightness...\Mitsuha! Don't stay there!\Mitsuha, get out of there before the comet strikes!\Mitsuha, get out of there!\Mitsuha! Mitsuha!\Mitsuha!\I'm Mitsuha. She's still alive!\Mitsuha, are you touching... response:	My sister!
context: Mitsuha! Don't stay there!\Mitsuha, get out of there before the comet strikes!\Mitsuha, get out of there!\Mitsuha! Mitsuha!\Mitsuha!\I'm Mitsuha. She's still alive!\Mitsuha, are you touching...\My sister! response:	Yotsuha!
