context: Dijun, what do you have in your arms? response:	You can't tell from looking what this is?
context: That's right. We don't have to be envious of others.\Are you friends with the person who works here?\We've met a couple of times.\Oh. Is he here?\It doesn't seem like it. I don't sense his magic breath.\But it's because he isn't here that I brought you here.\Is your relationship bad?\No. I admire him. response:	There are just reasons for why it'd be inconvenient to see him now.
context: Are you friends with the person who works here?\We've met a couple of times.\Oh. Is he here?\It doesn't seem like it. I don't sense his magic breath.\But it's because he isn't here that I brought you here.\Is your relationship bad?\No. I admire him.\There are just reasons for why it'd be inconvenient to see him now. response:	Oh.
context: We've met a couple of times.\Oh. Is he here?\It doesn't seem like it. I don't sense his magic breath.\But it's because he isn't here that I brought you here.\Is your relationship bad?\No. I admire him.\There are just reasons for why it'd be inconvenient to see him now.\Oh. response:	This peach blossom wine is really good.
context: Oh. Is he here?\It doesn't seem like it. I don't sense his magic breath.\But it's because he isn't here that I brought you here.\Is your relationship bad?\No. I admire him.\There are just reasons for why it'd be inconvenient to see him now.\Oh.\This peach blossom wine is really good. response:	It seems as if I've had it before.
context: It doesn't seem like it. I don't sense his magic breath.\But it's because he isn't here that I brought you here.\Is your relationship bad?\No. I admire him.\There are just reasons for why it'd be inconvenient to see him now.\Oh.\This peach blossom wine is really good.\It seems as if I've had it before. response:	I didn't expect you to have such good alcohol tolerance.
context: But it's because he isn't here that I brought you here.\Is your relationship bad?\No. I admire him.\There are just reasons for why it'd be inconvenient to see him now.\Oh.\This peach blossom wine is really good.\It seems as if I've had it before.\I didn't expect you to have such good alcohol tolerance. response:	I didn't expect it either.
context: Is your relationship bad?\No. I admire him.\There are just reasons for why it'd be inconvenient to see him now.\Oh.\This peach blossom wine is really good.\It seems as if I've had it before.\I didn't expect you to have such good alcohol tolerance.\I didn't expect it either. response:	But Ye Hua, can we just take one of his pitchers of wine like this?
context: No. I admire him.\There are just reasons for why it'd be inconvenient to see him now.\Oh.\This peach blossom wine is really good.\It seems as if I've had it before.\I didn't expect you to have such good alcohol tolerance.\I didn't expect it either.\But Ye Hua, can we just take one of his pitchers of wine like this? response:	It's okay. I don't think I'll ever see him again in the future.
context: There are just reasons for why it'd be inconvenient to see him now.\Oh.\This peach blossom wine is really good.\It seems as if I've had it before.\I didn't expect you to have such good alcohol tolerance.\I didn't expect it either.\But Ye Hua, can we just take one of his pitchers of wine like this?\It's okay. I don't think I'll ever see him again in the future. response:	You won't come here to see your friends anymore?
context: Oh.\This peach blossom wine is really good.\It seems as if I've had it before.\I didn't expect you to have such good alcohol tolerance.\I didn't expect it either.\But Ye Hua, can we just take one of his pitchers of wine like this?\It's okay. I don't think I'll ever see him again in the future.\You won't come here to see your friends anymore? response:	I won't.
context: This peach blossom wine is really good.\It seems as if I've had it before.\I didn't expect you to have such good alcohol tolerance.\I didn't expect it either.\But Ye Hua, can we just take one of his pitchers of wine like this?\It's okay. I don't think I'll ever see him again in the future.\You won't come here to see your friends anymore?\I won't. response:	Then I won't be able to see this Ten Mile Peach Tree Woods anymore.
context: It seems as if I've had it before.\I didn't expect you to have such good alcohol tolerance.\I didn't expect it either.\But Ye Hua, can we just take one of his pitchers of wine like this?\It's okay. I don't think I'll ever see him again in the future.\You won't come here to see your friends anymore?\I won't.\Then I won't be able to see this Ten Mile Peach Tree Woods anymore. response:	In the future, I'll plant one for you.
context: I didn't expect you to have such good alcohol tolerance.\I didn't expect it either.\But Ye Hua, can we just take one of his pitchers of wine like this?\It's okay. I don't think I'll ever see him again in the future.\You won't come here to see your friends anymore?\I won't.\Then I won't be able to see this Ten Mile Peach Tree Woods anymore.\In the future, I'll plant one for you. response:	I want it to be ten miles too.
context: I didn't expect it either.\But Ye Hua, can we just take one of his pitchers of wine like this?\It's okay. I don't think I'll ever see him again in the future.\You won't come here to see your friends anymore?\I won't.\Then I won't be able to see this Ten Mile Peach Tree Woods anymore.\In the future, I'll plant one for you.\I want it to be ten miles too. response:	Your Highness must be in a good mood. You didn't come back the whole night.
context: But Ye Hua, can we just take one of his pitchers of wine like this?\It's okay. I don't think I'll ever see him again in the future.\You won't come here to see your friends anymore?\I won't.\Then I won't be able to see this Ten Mile Peach Tree Woods anymore.\In the future, I'll plant one for you.\I want it to be ten miles too.\Your Highness must be in a good mood. You didn't come back the whole night. response:	He tends to indulge in pleasures and forget about everything else.
context: It's okay. I don't think I'll ever see him again in the future.\You won't come here to see your friends anymore?\I won't.\Then I won't be able to see this Ten Mile Peach Tree Woods anymore.\In the future, I'll plant one for you.\I want it to be ten miles too.\Your Highness must be in a good mood. You didn't come back the whole night.\He tends to indulge in pleasures and forget about everything else. response:	Judging from the way you carried her inside, I can tell she's a woman.
