context: I've always hoped that you could forget what happened 300 years ago. response:	Now that you've fallen for this high god...
context: Mo Yuan surely has his reason for choosing the Crown Prince of West Sea.\He owed Mo Yuan a favor when he was still young.\Let's just say that he's repaying his kindness.\Moreover, the second prince of West Sea is your Senior.\We'll regard it as repaying his brother's mentor.\Lass, why are you crying?\This matter has been on my mind for 70,000 years.\I'm afraid that I might be let down again. response:	You were so eager to just catch a cloud and fleet off to West Sea.
context: He owed Mo Yuan a favor when he was still young.\Let's just say that he's repaying his kindness.\Moreover, the second prince of West Sea is your Senior.\We'll regard it as repaying his brother's mentor.\Lass, why are you crying?\This matter has been on my mind for 70,000 years.\I'm afraid that I might be let down again.\You were so eager to just catch a cloud and fleet off to West Sea. response:	Why are you stalling for time?
context: Let's just say that he's repaying his kindness.\Moreover, the second prince of West Sea is your Senior.\We'll regard it as repaying his brother's mentor.\Lass, why are you crying?\This matter has been on my mind for 70,000 years.\I'm afraid that I might be let down again.\You were so eager to just catch a cloud and fleet off to West Sea.\Why are you stalling for time? response:	After hearing what you said
context: Moreover, the second prince of West Sea is your Senior.\We'll regard it as repaying his brother's mentor.\Lass, why are you crying?\This matter has been on my mind for 70,000 years.\I'm afraid that I might be let down again.\You were so eager to just catch a cloud and fleet off to West Sea.\Why are you stalling for time?\After hearing what you said response:	I really can't stay put in Nine Heavens.
context: We'll regard it as repaying his brother's mentor.\Lass, why are you crying?\This matter has been on my mind for 70,000 years.\I'm afraid that I might be let down again.\You were so eager to just catch a cloud and fleet off to West Sea.\Why are you stalling for time?\After hearing what you said\I really can't stay put in Nine Heavens. response:	Even if my mentor isn't awake yet, I have to visit him.
context: Lass, why are you crying?\This matter has been on my mind for 70,000 years.\I'm afraid that I might be let down again.\You were so eager to just catch a cloud and fleet off to West Sea.\Why are you stalling for time?\After hearing what you said\I really can't stay put in Nine Heavens.\Even if my mentor isn't awake yet, I have to visit him. response:	Are you afraid that you can't answer to your fiance if you leave now?
context: This matter has been on my mind for 70,000 years.\I'm afraid that I might be let down again.\You were so eager to just catch a cloud and fleet off to West Sea.\Why are you stalling for time?\After hearing what you said\I really can't stay put in Nine Heavens.\Even if my mentor isn't awake yet, I have to visit him.\Are you afraid that you can't answer to your fiance if you leave now? response:	I owe him a favor for recuperating here in the Realm of Supreme Purity.
context: I'm afraid that I might be let down again.\You were so eager to just catch a cloud and fleet off to West Sea.\Why are you stalling for time?\After hearing what you said\I really can't stay put in Nine Heavens.\Even if my mentor isn't awake yet, I have to visit him.\Are you afraid that you can't answer to your fiance if you leave now?\I owe him a favor for recuperating here in the Realm of Supreme Purity. response:	If I leave without a word, I'd seem rude.
context: You were so eager to just catch a cloud and fleet off to West Sea.\Why are you stalling for time?\After hearing what you said\I really can't stay put in Nine Heavens.\Even if my mentor isn't awake yet, I have to visit him.\Are you afraid that you can't answer to your fiance if you leave now?\I owe him a favor for recuperating here in the Realm of Supreme Purity.\If I leave without a word, I'd seem rude. response:	But if I bid him farewell...
context: Why are you stalling for time?\After hearing what you said\I really can't stay put in Nine Heavens.\Even if my mentor isn't awake yet, I have to visit him.\Are you afraid that you can't answer to your fiance if you leave now?\I owe him a favor for recuperating here in the Realm of Supreme Purity.\If I leave without a word, I'd seem rude.\But if I bid him farewell... response:	Forget it.
context: After hearing what you said\I really can't stay put in Nine Heavens.\Even if my mentor isn't awake yet, I have to visit him.\Are you afraid that you can't answer to your fiance if you leave now?\I owe him a favor for recuperating here in the Realm of Supreme Purity.\If I leave without a word, I'd seem rude.\But if I bid him farewell...\Forget it. response:	Ye Hua... Thank you for your hospitality these days.
context: I really can't stay put in Nine Heavens.\Even if my mentor isn't awake yet, I have to visit him.\Are you afraid that you can't answer to your fiance if you leave now?\I owe him a favor for recuperating here in the Realm of Supreme Purity.\If I leave without a word, I'd seem rude.\But if I bid him farewell...\Forget it.\Ye Hua... Thank you for your hospitality these days. response:	Qian Qian, are you really going to leave me?
context: Even if my mentor isn't awake yet, I have to visit him.\Are you afraid that you can't answer to your fiance if you leave now?\I owe him a favor for recuperating here in the Realm of Supreme Purity.\If I leave without a word, I'd seem rude.\But if I bid him farewell...\Forget it.\Ye Hua... Thank you for your hospitality these days.\Qian Qian, are you really going to leave me? response:	High God left this letter behind.
context: Are you afraid that you can't answer to your fiance if you leave now?\I owe him a favor for recuperating here in the Realm of Supreme Purity.\If I leave without a word, I'd seem rude.\But if I bid him farewell...\Forget it.\Ye Hua... Thank you for your hospitality these days.\Qian Qian, are you really going to leave me?\High God left this letter behind. response:	Did she leave any other message?
context: I owe him a favor for recuperating here in the Realm of Supreme Purity.\If I leave without a word, I'd seem rude.\But if I bid him farewell...\Forget it.\Ye Hua... Thank you for your hospitality these days.\Qian Qian, are you really going to leave me?\High God left this letter behind.\Did she leave any other message? response:	Not a word more.
