context: This is a story about my father, my mother, and me. response:	About our family of three.
context: Yeah! I was worried about Roku,\but you can take your time, Dad!\Is that mission complete for us?\Yeah\You don't wanna come over here?\We're all ready for you.\That's enough of that.\The crab's tasty, huh? response:	Yeah.
context: but you can take your time, Dad!\Is that mission complete for us?\Yeah\You don't wanna come over here?\We're all ready for you.\That's enough of that.\The crab's tasty, huh?\Yeah. response:	I've had enough of these secrets!
context: Is that mission complete for us?\Yeah\You don't wanna come over here?\We're all ready for you.\That's enough of that.\The crab's tasty, huh?\Yeah.\I've had enough of these secrets! response:	I'm gonna come clean to my wife, divorce her, and marry you for real!
context: Yeah\You don't wanna come over here?\We're all ready for you.\That's enough of that.\The crab's tasty, huh?\Yeah.\I've had enough of these secrets!\I'm gonna come clean to my wife, divorce her, and marry you for real! response:	T-This is tasty, too, huh?
context: You don't wanna come over here?\We're all ready for you.\That's enough of that.\The crab's tasty, huh?\Yeah.\I've had enough of these secrets!\I'm gonna come clean to my wife, divorce her, and marry you for real!\T-This is tasty, too, huh? response:	Is something wrong?
context: We're all ready for you.\That's enough of that.\The crab's tasty, huh?\Yeah.\I've had enough of these secrets!\I'm gonna come clean to my wife, divorce her, and marry you for real!\T-This is tasty, too, huh?\Is something wrong? response:	I'm just moved by how tasty the food is.
context: That's enough of that.\The crab's tasty, huh?\Yeah.\I've had enough of these secrets!\I'm gonna come clean to my wife, divorce her, and marry you for real!\T-This is tasty, too, huh?\Is something wrong?\I'm just moved by how tasty the food is. response:	Thank you, Hiruo,
context: The crab's tasty, huh?\Yeah.\I've had enough of these secrets!\I'm gonna come clean to my wife, divorce her, and marry you for real!\T-This is tasty, too, huh?\Is something wrong?\I'm just moved by how tasty the food is.\Thank you, Hiruo, response:	but I've also been hiding something.
context: Yeah.\I've had enough of these secrets!\I'm gonna come clean to my wife, divorce her, and marry you for real!\T-This is tasty, too, huh?\Is something wrong?\I'm just moved by how tasty the food is.\Thank you, Hiruo,\but I've also been hiding something. response:	I'm actually not 26. I'm 40!
context: I've had enough of these secrets!\I'm gonna come clean to my wife, divorce her, and marry you for real!\T-This is tasty, too, huh?\Is something wrong?\I'm just moved by how tasty the food is.\Thank you, Hiruo,\but I've also been hiding something.\I'm actually not 26. I'm 40! response:	I'm also twice divorced, and five million yen in debt!
context: I'm gonna come clean to my wife, divorce her, and marry you for real!\T-This is tasty, too, huh?\Is something wrong?\I'm just moved by how tasty the food is.\Thank you, Hiruo,\but I've also been hiding something.\I'm actually not 26. I'm 40!\I'm also twice divorced, and five million yen in debt! response:	I don't care! I'm glad you told me!
context: T-This is tasty, too, huh?\Is something wrong?\I'm just moved by how tasty the food is.\Thank you, Hiruo,\but I've also been hiding something.\I'm actually not 26. I'm 40!\I'm also twice divorced, and five million yen in debt!\I don't care! I'm glad you told me! response:	What's going on here?
context: Is something wrong?\I'm just moved by how tasty the food is.\Thank you, Hiruo,\but I've also been hiding something.\I'm actually not 26. I'm 40!\I'm also twice divorced, and five million yen in debt!\I don't care! I'm glad you told me!\What's going on here? response:	I've also had enough of these secrets!
context: I'm just moved by how tasty the food is.\Thank you, Hiruo,\but I've also been hiding something.\I'm actually not 26. I'm 40!\I'm also twice divorced, and five million yen in debt!\I don't care! I'm glad you told me!\What's going on here?\I've also had enough of these secrets! response:	This dog I gave you as a birthday present!
context: Thank you, Hiruo,\but I've also been hiding something.\I'm actually not 26. I'm 40!\I'm also twice divorced, and five million yen in debt!\I don't care! I'm glad you told me!\What's going on here?\I've also had enough of these secrets!\This dog I gave you as a birthday present! response:	He's not a chihuahua! He's a mongrel!
context: but I've also been hiding something.\I'm actually not 26. I'm 40!\I'm also twice divorced, and five million yen in debt!\I don't care! I'm glad you told me!\What's going on here?\I've also had enough of these secrets!\This dog I gave you as a birthday present!\He's not a chihuahua! He's a mongrel! response:	A chihuahua?
context: I'm actually not 26. I'm 40!\I'm also twice divorced, and five million yen in debt!\I don't care! I'm glad you told me!\What's going on here?\I've also had enough of these secrets!\This dog I gave you as a birthday present!\He's not a chihuahua! He's a mongrel!\A chihuahua? response:	What are you saying? He's already the only dog for me!
context: I'm also twice divorced, and five million yen in debt!\I don't care! I'm glad you told me!\What's going on here?\I've also had enough of these secrets!\This dog I gave you as a birthday present!\He's not a chihuahua! He's a mongrel!\A chihuahua?\What are you saying? He's already the only dog for me! response:	I don't care what breed he is!
context: I don't care! I'm glad you told me!\What's going on here?\I've also had enough of these secrets!\This dog I gave you as a birthday present!\He's not a chihuahua! He's a mongrel!\A chihuahua?\What are you saying? He's already the only dog for me!\I don't care what breed he is! response:	But I'm glad you told me.
context: What's going on here?\I've also had enough of these secrets!\This dog I gave you as a birthday present!\He's not a chihuahua! He's a mongrel!\A chihuahua?\What are you saying? He's already the only dog for me!\I don't care what breed he is!\But I'm glad you told me. response:	And I'm glad I got it off my chest.
