context: The be-in... response:	Why not return it?
context: I want to be a brilliant witch!\I'll be the next Shiny Chariot!\I may just be a little witch right now, but I have fun every day chasing my dream!\Just imagining Chariot's smile is enough to fill my whole world with rainbows!\Not like a certain someone would understand.\What's with the smirk? Are you looking down on me?\You are truly bewitching.\Th-That's not how you really feel. It's just because you were stung by that magic bee. response:	Bee?
context: I'll be the next Shiny Chariot!\I may just be a little witch right now, but I have fun every day chasing my dream!\Just imagining Chariot's smile is enough to fill my whole world with rainbows!\Not like a certain someone would understand.\What's with the smirk? Are you looking down on me?\You are truly bewitching.\Th-That's not how you really feel. It's just because you were stung by that magic bee.\Bee? response:	There it is!
context: I may just be a little witch right now, but I have fun every day chasing my dream!\Just imagining Chariot's smile is enough to fill my whole world with rainbows!\Not like a certain someone would understand.\What's with the smirk? Are you looking down on me?\You are truly bewitching.\Th-That's not how you really feel. It's just because you were stung by that magic bee.\Bee?\There it is! response:	Help me out! If I can squash that bee, you'll come back to your senses!
context: Just imagining Chariot's smile is enough to fill my whole world with rainbows!\Not like a certain someone would understand.\What's with the smirk? Are you looking down on me?\You are truly bewitching.\Th-That's not how you really feel. It's just because you were stung by that magic bee.\Bee?\There it is!\Help me out! If I can squash that bee, you'll come back to your senses! response:	Hey, get back here!
context: Not like a certain someone would understand.\What's with the smirk? Are you looking down on me?\You are truly bewitching.\Th-That's not how you really feel. It's just because you were stung by that magic bee.\Bee?\There it is!\Help me out! If I can squash that bee, you'll come back to your senses!\Hey, get back here! response:	Why you!
context: What's with the smirk? Are you looking down on me?\You are truly bewitching.\Th-That's not how you really feel. It's just because you were stung by that magic bee.\Bee?\There it is!\Help me out! If I can squash that bee, you'll come back to your senses!\Hey, get back here!\Why you! response:	What is she doing?
context: You are truly bewitching.\Th-That's not how you really feel. It's just because you were stung by that magic bee.\Bee?\There it is!\Help me out! If I can squash that bee, you'll come back to your senses!\Hey, get back here!\Why you!\What is she doing? response:	What is the meaning of this?
context: Th-That's not how you really feel. It's just because you were stung by that magic bee.\Bee?\There it is!\Help me out! If I can squash that bee, you'll come back to your senses!\Hey, get back here!\Why you!\What is she doing?\What is the meaning of this? response:	She appears to be a witch of Luna Nova.
context: Bee?\There it is!\Help me out! If I can squash that bee, you'll come back to your senses!\Hey, get back here!\Why you!\What is she doing?\What is the meaning of this?\She appears to be a witch of Luna Nova. response:	What?!
context: There it is!\Help me out! If I can squash that bee, you'll come back to your senses!\Hey, get back here!\Why you!\What is she doing?\What is the meaning of this?\She appears to be a witch of Luna Nova.\What?! response:	That's enough, Luna Nova witch.
context: Help me out! If I can squash that bee, you'll come back to your senses!\Hey, get back here!\Why you!\What is she doing?\What is the meaning of this?\She appears to be a witch of Luna Nova.\What?!\That's enough, Luna Nova witch. response:	I demand you leave the premises immediately.
context: Hey, get back here!\Why you!\What is she doing?\What is the meaning of this?\She appears to be a witch of Luna Nova.\What?!\That's enough, Luna Nova witch.\I demand you leave the premises immediately. response:	Everyone, an incident has occurred.
context: Why you!\What is she doing?\What is the meaning of this?\She appears to be a witch of Luna Nova.\What?!\That's enough, Luna Nova witch.\I demand you leave the premises immediately.\Everyone, an incident has occurred. response:	At the moment, Miss Kagari is attempting to eliminate a dangerous bee.
context: What is she doing?\What is the meaning of this?\She appears to be a witch of Luna Nova.\What?!\That's enough, Luna Nova witch.\I demand you leave the premises immediately.\Everyone, an incident has occurred.\At the moment, Miss Kagari is attempting to eliminate a dangerous bee. response:	A bee?
context: What is the meaning of this?\She appears to be a witch of Luna Nova.\What?!\That's enough, Luna Nova witch.\I demand you leave the premises immediately.\Everyone, an incident has occurred.\At the moment, Miss Kagari is attempting to eliminate a dangerous bee.\A bee? response:	How horrid.
context: She appears to be a witch of Luna Nova.\What?!\That's enough, Luna Nova witch.\I demand you leave the premises immediately.\Everyone, an incident has occurred.\At the moment, Miss Kagari is attempting to eliminate a dangerous bee.\A bee?\How horrid. response:	A-Andrew?
context: What?!\That's enough, Luna Nova witch.\I demand you leave the premises immediately.\Everyone, an incident has occurred.\At the moment, Miss Kagari is attempting to eliminate a dangerous bee.\A bee?\How horrid.\A-Andrew? response:	Play along.
context: That's enough, Luna Nova witch.\I demand you leave the premises immediately.\Everyone, an incident has occurred.\At the moment, Miss Kagari is attempting to eliminate a dangerous bee.\A bee?\How horrid.\A-Andrew?\Play along. response:	Please enjoy this as she eliminates the bee.
context: I demand you leave the premises immediately.\Everyone, an incident has occurred.\At the moment, Miss Kagari is attempting to eliminate a dangerous bee.\A bee?\How horrid.\A-Andrew?\Play along.\Please enjoy this as she eliminates the bee. response:	Flight of the Bumblebee.
context: Everyone, an incident has occurred.\At the moment, Miss Kagari is attempting to eliminate a dangerous bee.\A bee?\How horrid.\A-Andrew?\Play along.\Please enjoy this as she eliminates the bee.\Flight of the Bumblebee. response:	Where have you gone, Akko?
context: At the moment, Miss Kagari is attempting to eliminate a dangerous bee.\A bee?\How horrid.\A-Andrew?\Play along.\Please enjoy this as she eliminates the bee.\Flight of the Bumblebee.\Where have you gone, Akko? response:	Who are you?
context: A bee?\How horrid.\A-Andrew?\Play along.\Please enjoy this as she eliminates the bee.\Flight of the Bumblebee.\Where have you gone, Akko?\Who are you? response:	What is this ruckus?
context: How horrid.\A-Andrew?\Play along.\Please enjoy this as she eliminates the bee.\Flight of the Bumblebee.\Where have you gone, Akko?\Who are you?\What is this ruckus? response:	Stop it! Sto
