context: If I remember correctly response:	70,000 years ago by Ruoshui Riverbank
context: She has been to the Celestial Palace twice without greeting me.\Today, I will go and visit her instead.\Mother, you're reading too quickly.\Why would a child read so carefully?\I'll tell you the story when I'm done reading it.\- Your Highness! - Your Highness!\You may all get up.\Greetings, Grandmother. response:	Get up quickly.
context: Today, I will go and visit her instead.\Mother, you're reading too quickly.\Why would a child read so carefully?\I'll tell you the story when I'm done reading it.\- Your Highness! - Your Highness!\You may all get up.\Greetings, Grandmother.\Get up quickly. response:	Yes.
context: Mother, you're reading too quickly.\Why would a child read so carefully?\I'll tell you the story when I'm done reading it.\- Your Highness! - Your Highness!\You may all get up.\Greetings, Grandmother.\Get up quickly.\Yes. response:	Greetings, Crown Prince and High God.
context: Why would a child read so carefully?\I'll tell you the story when I'm done reading it.\- Your Highness! - Your Highness!\You may all get up.\Greetings, Grandmother.\Get up quickly.\Yes.\Greetings, Crown Prince and High God. response:	High God Bai Qian.
context: I'll tell you the story when I'm done reading it.\- Your Highness! - Your Highness!\You may all get up.\Greetings, Grandmother.\Get up quickly.\Yes.\Greetings, Crown Prince and High God.\High God Bai Qian. response:	Consort Le Xu.
context: - Your Highness! - Your Highness!\You may all get up.\Greetings, Grandmother.\Get up quickly.\Yes.\Greetings, Crown Prince and High God.\High God Bai Qian.\Consort Le Xu. response:	According to the rites, I should bow to greet a high god.
context: You may all get up.\Greetings, Grandmother.\Get up quickly.\Yes.\Greetings, Crown Prince and High God.\High God Bai Qian.\Consort Le Xu.\According to the rites, I should bow to greet a high god. response:	However, as you're marrying my son
context: Greetings, Grandmother.\Get up quickly.\Yes.\Greetings, Crown Prince and High God.\High God Bai Qian.\Consort Le Xu.\According to the rites, I should bow to greet a high god.\However, as you're marrying my son response:	the greeting formalities between us can be overlooked.
context: Get up quickly.\Yes.\Greetings, Crown Prince and High God.\High God Bai Qian.\Consort Le Xu.\According to the rites, I should bow to greet a high god.\However, as you're marrying my son\the greeting formalities between us can be overlooked. response:	I'll go with Ye Hua's order of seniority in the family.
context: Yes.\Greetings, Crown Prince and High God.\High God Bai Qian.\Consort Le Xu.\According to the rites, I should bow to greet a high god.\However, as you're marrying my son\the greeting formalities between us can be overlooked.\I'll go with Ye Hua's order of seniority in the family. response:	Bai Qian greets Consort Le Xu.
context: Greetings, Crown Prince and High God.\High God Bai Qian.\Consort Le Xu.\According to the rites, I should bow to greet a high god.\However, as you're marrying my son\the greeting formalities between us can be overlooked.\I'll go with Ye Hua's order of seniority in the family.\Bai Qian greets Consort Le Xu. response:	I'll accept the greeting from my future daughter-in-law then.
context: High God Bai Qian.\Consort Le Xu.\According to the rites, I should bow to greet a high god.\However, as you're marrying my son\the greeting formalities between us can be overlooked.\I'll go with Ye Hua's order of seniority in the family.\Bai Qian greets Consort Le Xu.\I'll accept the greeting from my future daughter-in-law then. response:	Your Highness!
context: Consort Le Xu.\According to the rites, I should bow to greet a high god.\However, as you're marrying my son\the greeting formalities between us can be overlooked.\I'll go with Ye Hua's order of seniority in the family.\Bai Qian greets Consort Le Xu.\I'll accept the greeting from my future daughter-in-law then.\Your Highness! response:	Ye Hua, you're always so busy with work. Your tea has gone cold
context: According to the rites, I should bow to greet a high god.\However, as you're marrying my son\the greeting formalities between us can be overlooked.\I'll go with Ye Hua's order of seniority in the family.\Bai Qian greets Consort Le Xu.\I'll accept the greeting from my future daughter-in-law then.\Your Highness!\Ye Hua, you're always so busy with work. Your tea has gone cold response:	before you had the time to drink it.
context: However, as you're marrying my son\the greeting formalities between us can be overlooked.\I'll go with Ye Hua's order of seniority in the family.\Bai Qian greets Consort Le Xu.\I'll accept the greeting from my future daughter-in-law then.\Your Highness!\Ye Hua, you're always so busy with work. Your tea has gone cold\before you had the time to drink it. response:	Why don't I get you a new cup of tea?
context: the greeting formalities between us can be overlooked.\I'll go with Ye Hua's order of seniority in the family.\Bai Qian greets Consort Le Xu.\I'll accept the greeting from my future daughter-in-law then.\Your Highness!\Ye Hua, you're always so busy with work. Your tea has gone cold\before you had the time to drink it.\Why don't I get you a new cup of tea? response:	There's no need to go to such trouble.
context: I'll go with Ye Hua's order of seniority in the family.\Bai Qian greets Consort Le Xu.\I'll accept the greeting from my future daughter-in-law then.\Your Highness!\Ye Hua, you're always so busy with work. Your tea has gone cold\before you had the time to drink it.\Why don't I get you a new cup of tea?\There's no need to go to such trouble. response:	This tea is at my preferred temperature.
context: Bai Qian greets Consort Le Xu.\I'll accept the greeting from my future daughter-in-law then.\Your Highness!\Ye Hua, you're always so busy with work. Your tea has gone cold\before you had the time to drink it.\Why don't I get you a new cup of tea?\There's no need to go to such trouble.\This tea is at my preferred temperature. response:	You can't drink that tea!
context: I'll accept the greeting from my future daughter-in-law then.\Your Highness!\Ye Hua, you're always so busy with work. Your tea has gone cold\before you had the time to drink it.\Why don't I get you a new cup of tea?\There's no need to go to such trouble.\This tea is at my preferred temperature.\You can't drink that tea! response:	What is wrong with this cup of tea?
context: Your Highness!\Ye Hua, you're always so busy with work. Your tea has gone cold\before you had the time to drink it.\Why don't I get you a new cup of tea?\There's no need to go to such trouble.\This tea is at my preferred temperature.\You can't drink that tea!\What is wrong with this cup of tea? response:	I'm just worried that you'll feel unwell from drinking cold tea.
context: Ye Hua, you're always so busy with work. Your tea has gone cold\before you had the time to drink it.\Why don't I get you a new cup of tea?\There's no need to go to such trouble.\This tea is at my preferred temperature.\You can't drink that tea!\What is wrong with this cup of tea?\I'm just worried that you'll feel unwell from drinking cold tea. response:	You've only recently recovered from a severe illness.
context: before you had the time to drink it.\Why don't I get you a new cup of tea?\There's no need to go to such trouble.\This tea is at my preferred temperature.\You can't drink that tea!\What is wrong with this cup of tea?\I'm just worried that you'll feel unwell from drinking cold tea.\You've only recently recovered from a severe illness. response:	What if you get sick again after having cold tea?
context: Why don't I get you a new cup of tea?\There's no need to go to such trouble.\This tea is at my preferred temperature.\You can't drink that tea!\What is wrong with this cup of tea?\I'm just worried that you'll feel unwell from drinking cold tea.\You've only recently recovered from a severe illness.\What if you get sick again after having cold tea? response:	Mother, fret not.
