context: I have to get some proper rest. response:	Don't disturb me again.
context: However, he's too frail.\I wonder if he can withstand the effect of this elixir.\You'd better stay by his side to look after him.\I understand.\What brought High God here?\Auntie hasn't returned yet.\No, I've just visited her in West Sea.\Are you here to see Fourth Uncle then? response:	Isn't he in the Peach Tree Woods?
context: I wonder if he can withstand the effect of this elixir.\You'd better stay by his side to look after him.\I understand.\What brought High God here?\Auntie hasn't returned yet.\No, I've just visited her in West Sea.\Are you here to see Fourth Uncle then?\Isn't he in the Peach Tree Woods? response:	I'm here to see you.
context: You'd better stay by his side to look after him.\I understand.\What brought High God here?\Auntie hasn't returned yet.\No, I've just visited her in West Sea.\Are you here to see Fourth Uncle then?\Isn't he in the Peach Tree Woods?\I'm here to see you. response:	You're here to see me?
context: I understand.\What brought High God here?\Auntie hasn't returned yet.\No, I've just visited her in West Sea.\Are you here to see Fourth Uncle then?\Isn't he in the Peach Tree Woods?\I'm here to see you.\You're here to see me? response:	I need you to take a trip to the Ghost Realm.
context: What brought High God here?\Auntie hasn't returned yet.\No, I've just visited her in West Sea.\Are you here to see Fourth Uncle then?\Isn't he in the Peach Tree Woods?\I'm here to see you.\You're here to see me?\I need you to take a trip to the Ghost Realm. response:	The Ghost Realm?
context: Auntie hasn't returned yet.\No, I've just visited her in West Sea.\Are you here to see Fourth Uncle then?\Isn't he in the Peach Tree Woods?\I'm here to see you.\You're here to see me?\I need you to take a trip to the Ghost Realm.\The Ghost Realm? response:	High God, you're not joking with me?
context: No, I've just visited her in West Sea.\Are you here to see Fourth Uncle then?\Isn't he in the Peach Tree Woods?\I'm here to see you.\You're here to see me?\I need you to take a trip to the Ghost Realm.\The Ghost Realm?\High God, you're not joking with me? response:	Do I look that bored to you?
context: Are you here to see Fourth Uncle then?\Isn't he in the Peach Tree Woods?\I'm here to see you.\You're here to see me?\I need you to take a trip to the Ghost Realm.\The Ghost Realm?\High God, you're not joking with me?\Do I look that bored to you? response:	Die Yong, this elixir is created with thousands of years of cultivation.
context: Isn't he in the Peach Tree Woods?\I'm here to see you.\You're here to see me?\I need you to take a trip to the Ghost Realm.\The Ghost Realm?\High God, you're not joking with me?\Do I look that bored to you?\Die Yong, this elixir is created with thousands of years of cultivation. response:	There's the divine fungal grass in it.
context: I'm here to see you.\You're here to see me?\I need you to take a trip to the Ghost Realm.\The Ghost Realm?\High God, you're not joking with me?\Do I look that bored to you?\Die Yong, this elixir is created with thousands of years of cultivation.\There's the divine fungal grass in it. response:	But we're worried that it could be too strong.
context: You're here to see me?\I need you to take a trip to the Ghost Realm.\The Ghost Realm?\High God, you're not joking with me?\Do I look that bored to you?\Die Yong, this elixir is created with thousands of years of cultivation.\There's the divine fungal grass in it.\But we're worried that it could be too strong. response:	You should gather your power around your heart to protect it.
context: I need you to take a trip to the Ghost Realm.\The Ghost Realm?\High God, you're not joking with me?\Do I look that bored to you?\Die Yong, this elixir is created with thousands of years of cultivation.\There's the divine fungal grass in it.\But we're worried that it could be too strong.\You should gather your power around your heart to protect it. response:	I've been ill for 600 years.
context: The Ghost Realm?\High God, you're not joking with me?\Do I look that bored to you?\Die Yong, this elixir is created with thousands of years of cultivation.\There's the divine fungal grass in it.\But we're worried that it could be too strong.\You should gather your power around your heart to protect it.\I've been ill for 600 years. response:	What medicine haven't I taken?
context: High God, you're not joking with me?\Do I look that bored to you?\Die Yong, this elixir is created with thousands of years of cultivation.\There's the divine fungal grass in it.\But we're worried that it could be too strong.\You should gather your power around your heart to protect it.\I've been ill for 600 years.\What medicine haven't I taken? response:	Don't worry.
context: Do I look that bored to you?\Die Yong, this elixir is created with thousands of years of cultivation.\There's the divine fungal grass in it.\But we're worried that it could be too strong.\You should gather your power around your heart to protect it.\I've been ill for 600 years.\What medicine haven't I taken?\Don't worry. response:	I'm not that fragile.
context: Die Yong, this elixir is created with thousands of years of cultivation.\There's the divine fungal grass in it.\But we're worried that it could be too strong.\You should gather your power around your heart to protect it.\I've been ill for 600 years.\What medicine haven't I taken?\Don't worry.\I'm not that fragile. response:	Mother, don't be so nervous.
context: There's the divine fungal grass in it.\But we're worried that it could be too strong.\You should gather your power around your heart to protect it.\I've been ill for 600 years.\What medicine haven't I taken?\Don't worry.\I'm not that fragile.\Mother, don't be so nervous. response:	I already feel much better these days.
context: But we're worried that it could be too strong.\You should gather your power around your heart to protect it.\I've been ill for 600 years.\What medicine haven't I taken?\Don't worry.\I'm not that fragile.\Mother, don't be so nervous.\I already feel much better these days. response:	After I overcome this last obstacle I might be totally cured.
context: You should gather your power around your heart to protect it.\I've been ill for 600 years.\What medicine haven't I taken?\Don't worry.\I'm not that fragile.\Mother, don't be so nervous.\I already feel much better these days.\After I overcome this last obstacle I might be totally cured. response:	Die Yong...
context: I've been ill for 600 years.\What medicine haven't I taken?\Don't worry.\I'm not that fragile.\Mother, don't be so nervous.\I already feel much better these days.\After I overcome this last obstacle I might be totally cured.\Die Yong... response:	Die Yong!
context: What medicine haven't I taken?\Don't worry.\I'm not that fragile.\Mother, don't be so nervous.\I already feel much better these days.\After I overcome this last obstacle I might be totally cured.\Die Yong...\Die Yong! response:	Yong'er...
context: Don't worry.\I'm not that fragile.\Mother, don't be so nervous.\I already feel much better these days.\After I overcome this last obstacle I might be totally cured.\Die Yong...\Die Yong!\Yong'er... response:	This is...
