context: Tnby Academy, response:	Where people with special powers. As elements was recognized as the accumulation period
context: Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter response:	Kazuki-san
context: I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san response:	I have something important to say.
context: Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say. response:	Let's meet up somewhere.
context: Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere. response:	Important matter
context: Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter response:	Kazuki-san
context: I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san response:	I have something important to say.
context: Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say. response:	Let's meet up somewhere.
context: Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere. response:	Important matter
context: Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter response:	Kazuki-san
context: I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san response:	I have something important to say.
context: Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say. response:	Let's meet up somewhere.
context: Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere. response:	Important matter
context: Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter response:	Kazuki-san
context: I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san response:	I have something important to say.
context: Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say. response:	Let's meet up somewhere.
context: Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere. response:	Important matter
context: Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter response:	Kazuki-san
context: I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san response:	I have something important to say.
context: Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say. response:	Let's meet up somewhere.
context: Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere. response:	Important matter
context: Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter response:	Kazuki-san
context: I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san response:	I have something important to say.
context: Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say. response:	Let's meet up somewhere.
context: Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere. response:	Important matter
context: Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter response:	Kazuki-san
context: I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san response:	I have something important to say.
context: Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say. response:	Let's meet up somewhere.
context: Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere. response:	Important matter
context: Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter response:	Kazuki-san
context: I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san response:	I have something important to say.
context: Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say. response:	Let's meet up somewhere.
context: Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere. response:	Important matter
context: Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter response:	Kazuki-san
context: I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san response:	I have something important to say.
context: Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say. response:	Let's meet up somewhere.
context: Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere. response:	Important matter
context: Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter response:	Kazuki-san
context: I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san response:	I have something important to say.
context: Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say. response:	Let's meet up somewhere.
context: Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere. response:	Important matter
context: Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter\Kazuki-san\I have something important to say.\Let's meet up somewhere.\Important matter response:	Kazuki-san
