context: Can't something fun happen for once? response:	Every single day bores me to death.
context: That one's coming off!\This doesn't feel right. Did something happen to Amanda?\Done, next is over here!\We're busted! Amanda!\What motive brought you to Appleton?\No matter.\We'll figure it out once we capture the rat.\There are ways of making you talk. response:	Don't get yourself caught, Akko.
context: This doesn't feel right. Did something happen to Amanda?\Done, next is over here!\We're busted! Amanda!\What motive brought you to Appleton?\No matter.\We'll figure it out once we capture the rat.\There are ways of making you talk.\Don't get yourself caught, Akko. response:	Amanda! Are you okay?
context: Done, next is over here!\We're busted! Amanda!\What motive brought you to Appleton?\No matter.\We'll figure it out once we capture the rat.\There are ways of making you talk.\Don't get yourself caught, Akko.\Amanda! Are you okay? response:	I'm coming to save you!
context: We're busted! Amanda!\What motive brought you to Appleton?\No matter.\We'll figure it out once we capture the rat.\There are ways of making you talk.\Don't get yourself caught, Akko.\Amanda! Are you okay?\I'm coming to save you! response:	Stay away, stupid!
context: What motive brought you to Appleton?\No matter.\We'll figure it out once we capture the rat.\There are ways of making you talk.\Don't get yourself caught, Akko.\Amanda! Are you okay?\I'm coming to save you!\Stay away, stupid! response:	Why'd you try to rescue me?
context: No matter.\We'll figure it out once we capture the rat.\There are ways of making you talk.\Don't get yourself caught, Akko.\Amanda! Are you okay?\I'm coming to save you!\Stay away, stupid!\Why'd you try to rescue me? response:	We'll have more chances to escape!
context: We'll figure it out once we capture the rat.\There are ways of making you talk.\Don't get yourself caught, Akko.\Amanda! Are you okay?\I'm coming to save you!\Stay away, stupid!\Why'd you try to rescue me?\We'll have more chances to escape! response:	Let us begin the witch trial.
context: There are ways of making you talk.\Don't get yourself caught, Akko.\Amanda! Are you okay?\I'm coming to save you!\Stay away, stupid!\Why'd you try to rescue me?\We'll have more chances to escape!\Let us begin the witch trial. response:	The verdict is guilty and the punishment torture, of course.
context: Don't get yourself caught, Akko.\Amanda! Are you okay?\I'm coming to save you!\Stay away, stupid!\Why'd you try to rescue me?\We'll have more chances to escape!\Let us begin the witch trial.\The verdict is guilty and the punishment torture, of course. response:	That's not a trial at all!
context: Amanda! Are you okay?\I'm coming to save you!\Stay away, stupid!\Why'd you try to rescue me?\We'll have more chances to escape!\Let us begin the witch trial.\The verdict is guilty and the punishment torture, of course.\That's not a trial at all! response:	That ain't a trial or anything!
context: I'm coming to save you!\Stay away, stupid!\Why'd you try to rescue me?\We'll have more chances to escape!\Let us begin the witch trial.\The verdict is guilty and the punishment torture, of course.\That's not a trial at all!\That ain't a trial or anything! response:	Isn't this how it's always been? Witches are meant to receive judgement.
context: Stay away, stupid!\Why'd you try to rescue me?\We'll have more chances to escape!\Let us begin the witch trial.\The verdict is guilty and the punishment torture, of course.\That's not a trial at all!\That ain't a trial or anything!\Isn't this how it's always been? Witches are meant to receive judgement. response:	By the way...
context: Why'd you try to rescue me?\We'll have more chances to escape!\Let us begin the witch trial.\The verdict is guilty and the punishment torture, of course.\That's not a trial at all!\That ain't a trial or anything!\Isn't this how it's always been? Witches are meant to receive judgement.\By the way... response:	What's this?
context: We'll have more chances to escape!\Let us begin the witch trial.\The verdict is guilty and the punishment torture, of course.\That's not a trial at all!\That ain't a trial or anything!\Isn't this how it's always been? Witches are meant to receive judgement.\By the way...\What's this? response:	Stop, not that!
context: Let us begin the witch trial.\The verdict is guilty and the punishment torture, of course.\That's not a trial at all!\That ain't a trial or anything!\Isn't this how it's always been? Witches are meant to receive judgement.\By the way...\What's this?\Stop, not that! response:	You seriously found the Holy Grail?
context: The verdict is guilty and the punishment torture, of course.\That's not a trial at all!\That ain't a trial or anything!\Isn't this how it's always been? Witches are meant to receive judgement.\By the way...\What's this?\Stop, not that!\You seriously found the Holy Grail? response:	It's something you witches need?
context: That's not a trial at all!\That ain't a trial or anything!\Isn't this how it's always been? Witches are meant to receive judgement.\By the way...\What's this?\Stop, not that!\You seriously found the Holy Grail?\It's something you witches need? response:	We'll have to break it!
context: That ain't a trial or anything!\Isn't this how it's always been? Witches are meant to receive judgement.\By the way...\What's this?\Stop, not that!\You seriously found the Holy Grail?\It's something you witches need?\We'll have to break it! response:	Stop!
context: Isn't this how it's always been? Witches are meant to receive judgement.\By the way...\What's this?\Stop, not that!\You seriously found the Holy Grail?\It's something you witches need?\We'll have to break it!\Stop! response:	What's going on?!
context: By the way...\What's this?\Stop, not that!\You seriously found the Holy Grail?\It's something you witches need?\We'll have to break it!\Stop!\What's going on?! response:	So that's it.
context: What's this?\Stop, not that!\You seriously found the Holy Grail?\It's something you witches need?\We'll have to break it!\Stop!\What's going on?!\So that's it. response:	Are you planning to interfere, Andrew?!
context: Stop, not that!\You seriously found the Holy Grail?\It's something you witches need?\We'll have to break it!\Stop!\What's going on?!\So that's it.\Are you planning to interfere, Andrew?! response:	Louis, I have no intention of criticizing your ideology.
context: You seriously found the Holy Grail?\It's something you witches need?\We'll have to break it!\Stop!\What's going on?!\So that's it.\Are you planning to interfere, Andrew?!\Louis, I have no intention of criticizing your ideology. response:	But at the same time, I cannot see you as a gentleman!
context: It's something you witches need?\We'll have to break it!\Stop!\What's going on?!\So that's it.\Are you planning to interfere, Andrew?!\Louis, I have no intention of criticizing your ideology.\But at the same time, I cannot see you as a gentleman! response:	We're simply passing judgement on the intruding witches!
context: We'll have to break it!\Stop!\What's going on?!\So that's it.\Are you planning to interfere, Andrew?!\Louis, I have no intention of criticizing your ideology.\But at the same time, I cannot see you as a gentleman!\We're simply passing judgement on the intruding witches! response:	True, those girls trespassed on our campus.
