context: At the end of the 1990's. response:	Japan has reached the most dangerous depths of economic crisis and depression since World War II.
context: Actress Queen\Actress Queen I actually wanted to ask Aya-chan something\Actress Queen\Actress Queen Is she here?\Actress Queen\Actress Queen About that, but, the situation's changed somewhat.\About that, but, the situation's changed somewhat.\Doesn't she seem a little nervous? response:	The novel that she wrote in first semester became so popular...
context: Actress Queen I actually wanted to ask Aya-chan something\Actress Queen\Actress Queen Is she here?\Actress Queen\Actress Queen About that, but, the situation's changed somewhat.\About that, but, the situation's changed somewhat.\Doesn't she seem a little nervous?\The novel that she wrote in first semester became so popular... response:	Amazing!
context: Actress Queen\Actress Queen Is she here?\Actress Queen\Actress Queen About that, but, the situation's changed somewhat.\About that, but, the situation's changed somewhat.\Doesn't she seem a little nervous?\The novel that she wrote in first semester became so popular...\Amazing! response:	So she's feeling tremendous pressure, and she's been that way ever since yesterday.
context: Actress Queen Is she here?\Actress Queen\Actress Queen About that, but, the situation's changed somewhat.\About that, but, the situation's changed somewhat.\Doesn't she seem a little nervous?\The novel that she wrote in first semester became so popular...\Amazing!\So she's feeling tremendous pressure, and she's been that way ever since yesterday. response:	So she's feeling tremendous pressure, and she's been that way ever since yesterday. Pressure
context: Actress Queen\Actress Queen About that, but, the situation's changed somewhat.\About that, but, the situation's changed somewhat.\Doesn't she seem a little nervous?\The novel that she wrote in first semester became so popular...\Amazing!\So she's feeling tremendous pressure, and she's been that way ever since yesterday.\So she's feeling tremendous pressure, and she's been that way ever since yesterday. Pressure response:	Pressure
context: Actress Queen About that, but, the situation's changed somewhat.\About that, but, the situation's changed somewhat.\Doesn't she seem a little nervous?\The novel that she wrote in first semester became so popular...\Amazing!\So she's feeling tremendous pressure, and she's been that way ever since yesterday.\So she's feeling tremendous pressure, and she's been that way ever since yesterday. Pressure\Pressure response:	Pressure She's a little on the timid side, so...
context: About that, but, the situation's changed somewhat.\Doesn't she seem a little nervous?\The novel that she wrote in first semester became so popular...\Amazing!\So she's feeling tremendous pressure, and she's been that way ever since yesterday.\So she's feeling tremendous pressure, and she's been that way ever since yesterday. Pressure\Pressure\Pressure She's a little on the timid side, so... response:	I quit! It's no good today.
context: Doesn't she seem a little nervous?\The novel that she wrote in first semester became so popular...\Amazing!\So she's feeling tremendous pressure, and she's been that way ever since yesterday.\So she's feeling tremendous pressure, and she's been that way ever since yesterday. Pressure\Pressure\Pressure She's a little on the timid side, so...\I quit! It's no good today. response:	What, already?
context: The novel that she wrote in first semester became so popular...\Amazing!\So she's feeling tremendous pressure, and she's been that way ever since yesterday.\So she's feeling tremendous pressure, and she's been that way ever since yesterday. Pressure\Pressure\Pressure She's a little on the timid side, so...\I quit! It's no good today.\What, already? response:	I've been writing and rewriting over and over since yesterday...
context: Amazing!\So she's feeling tremendous pressure, and she's been that way ever since yesterday.\So she's feeling tremendous pressure, and she's been that way ever since yesterday. Pressure\Pressure\Pressure She's a little on the timid side, so...\I quit! It's no good today.\What, already?\I've been writing and rewriting over and over since yesterday... response:	Really?
context: So she's feeling tremendous pressure, and she's been that way ever since yesterday.\So she's feeling tremendous pressure, and she's been that way ever since yesterday. Pressure\Pressure\Pressure She's a little on the timid side, so...\I quit! It's no good today.\What, already?\I've been writing and rewriting over and over since yesterday...\Really? response:	There's something going on.
context: So she's feeling tremendous pressure, and she's been that way ever since yesterday. Pressure\Pressure\Pressure She's a little on the timid side, so...\I quit! It's no good today.\What, already?\I've been writing and rewriting over and over since yesterday...\Really?\There's something going on. response:	Characters, setting, plot, all these things, if they come to me...
context: Pressure\Pressure She's a little on the timid side, so...\I quit! It's no good today.\What, already?\I've been writing and rewriting over and over since yesterday...\Really?\There's something going on.\Characters, setting, plot, all these things, if they come to me... response:	then I can just write smoothly, but if these don't come...
context: Pressure She's a little on the timid side, so...\I quit! It's no good today.\What, already?\I've been writing and rewriting over and over since yesterday...\Really?\There's something going on.\Characters, setting, plot, all these things, if they come to me...\then I can just write smoothly, but if these don't come... response:	I wonder if it's like a slump.
context: I quit! It's no good today.\What, already?\I've been writing and rewriting over and over since yesterday...\Really?\There's something going on.\Characters, setting, plot, all these things, if they come to me...\then I can just write smoothly, but if these don't come...\I wonder if it's like a slump. response:	Maybe.
context: What, already?\I've been writing and rewriting over and over since yesterday...\Really?\There's something going on.\Characters, setting, plot, all these things, if they come to me...\then I can just write smoothly, but if these don't come...\I wonder if it's like a slump.\Maybe. response:	Don't be timid and just write away.
context: I've been writing and rewriting over and over since yesterday...\Really?\There's something going on.\Characters, setting, plot, all these things, if they come to me...\then I can just write smoothly, but if these don't come...\I wonder if it's like a slump.\Maybe.\Don't be timid and just write away. response:	If I write something that I don't enjoy writing, who would enjoy reading it?
context: Really?\There's something going on.\Characters, setting, plot, all these things, if they come to me...\then I can just write smoothly, but if these don't come...\I wonder if it's like a slump.\Maybe.\Don't be timid and just write away.\If I write something that I don't enjoy writing, who would enjoy reading it? response:	The more I cannot write, the more worried I become.
context: There's something going on.\Characters, setting, plot, all these things, if they come to me...\then I can just write smoothly, but if these don't come...\I wonder if it's like a slump.\Maybe.\Don't be timid and just write away.\If I write something that I don't enjoy writing, who would enjoy reading it?\The more I cannot write, the more worried I become. response:	I worry that maybe my writing powers are used up.
