context: Our adolescence is the season of love. response:	Our hearts flutter. We feel restless. And we're curious about boys.
context: You didn't get lost on the way?\I didn't. That's some outfit you're wearing!\- Come in. - Okay.\I'll introduce you.\She's a middle-school classmate from Nagasaki.\I'm Narumi Yui.\Hello.\Hi. response:	Sit over there.
context: I didn't. That's some outfit you're wearing!\- Come in. - Okay.\I'll introduce you.\She's a middle-school classmate from Nagasaki.\I'm Narumi Yui.\Hello.\Hi.\Sit over there. response:	Sure.
context: - Come in. - Okay.\I'll introduce you.\She's a middle-school classmate from Nagasaki.\I'm Narumi Yui.\Hello.\Hi.\Sit over there.\Sure. response:	The appearance of a girl from his 4 years away, then.
context: I'll introduce you.\She's a middle-school classmate from Nagasaki.\I'm Narumi Yui.\Hello.\Hi.\Sit over there.\Sure.\The appearance of a girl from his 4 years away, then. response:	I'll show you around later. Want a drink?
context: She's a middle-school classmate from Nagasaki.\I'm Narumi Yui.\Hello.\Hi.\Sit over there.\Sure.\The appearance of a girl from his 4 years away, then.\I'll show you around later. Want a drink? response:	Something that you recommend.
context: I'm Narumi Yui.\Hello.\Hi.\Sit over there.\Sure.\The appearance of a girl from his 4 years away, then.\I'll show you around later. Want a drink?\Something that you recommend. response:	Oh, but you have a sweet tooth, right?
context: Hello.\Hi.\Sit over there.\Sure.\The appearance of a girl from his 4 years away, then.\I'll show you around later. Want a drink?\Something that you recommend.\Oh, but you have a sweet tooth, right? response:	Yoshioka.
context: Hi.\Sit over there.\Sure.\The appearance of a girl from his 4 years away, then.\I'll show you around later. Want a drink?\Something that you recommend.\Oh, but you have a sweet tooth, right?\Yoshioka. response:	She'll have one Kominato Special.
context: Sit over there.\Sure.\The appearance of a girl from his 4 years away, then.\I'll show you around later. Want a drink?\Something that you recommend.\Oh, but you have a sweet tooth, right?\Yoshioka.\She'll have one Kominato Special. response:	Okay.
context: Sure.\The appearance of a girl from his 4 years away, then.\I'll show you around later. Want a drink?\Something that you recommend.\Oh, but you have a sweet tooth, right?\Yoshioka.\She'll have one Kominato Special.\Okay. response:	Yuuri, can you hold this?
context: The appearance of a girl from his 4 years away, then.\I'll show you around later. Want a drink?\Something that you recommend.\Oh, but you have a sweet tooth, right?\Yoshioka.\She'll have one Kominato Special.\Okay.\Yuuri, can you hold this? response:	Yoshioka-san, you look great as a butler!
context: I'll show you around later. Want a drink?\Something that you recommend.\Oh, but you have a sweet tooth, right?\Yoshioka.\She'll have one Kominato Special.\Okay.\Yuuri, can you hold this?\Yoshioka-san, you look great as a butler! response:	Oh, well, that's because I'm not very feminine.
context: Something that you recommend.\Oh, but you have a sweet tooth, right?\Yoshioka.\She'll have one Kominato Special.\Okay.\Yuuri, can you hold this?\Yoshioka-san, you look great as a butler!\Oh, well, that's because I'm not very feminine. response:	But, Yoshioka-san, you're such a girl.
context: Oh, but you have a sweet tooth, right?\Yoshioka.\She'll have one Kominato Special.\Okay.\Yuuri, can you hold this?\Yoshioka-san, you look great as a butler!\Oh, well, that's because I'm not very feminine.\But, Yoshioka-san, you're such a girl. response:	Here.
context: Yoshioka.\She'll have one Kominato Special.\Okay.\Yuuri, can you hold this?\Yoshioka-san, you look great as a butler!\Oh, well, that's because I'm not very feminine.\But, Yoshioka-san, you're such a girl.\Here. response:	Come to the stage at the end. We're just a thrown-together band, though.
context: She'll have one Kominato Special.\Okay.\Yuuri, can you hold this?\Yoshioka-san, you look great as a butler!\Oh, well, that's because I'm not very feminine.\But, Yoshioka-san, you're such a girl.\Here.\Come to the stage at the end. We're just a thrown-together band, though. response:	W-What? What is this? These people jumping into the picture?
context: Okay.\Yuuri, can you hold this?\Yoshioka-san, you look great as a butler!\Oh, well, that's because I'm not very feminine.\But, Yoshioka-san, you're such a girl.\Here.\Come to the stage at the end. We're just a thrown-together band, though.\W-What? What is this? These people jumping into the picture? response:	I had fun today.
context: Yuuri, can you hold this?\Yoshioka-san, you look great as a butler!\Oh, well, that's because I'm not very feminine.\But, Yoshioka-san, you're such a girl.\Here.\Come to the stage at the end. We're just a thrown-together band, though.\W-What? What is this? These people jumping into the picture?\I had fun today. response:	Thanks.
context: Yoshioka-san, you look great as a butler!\Oh, well, that's because I'm not very feminine.\But, Yoshioka-san, you're such a girl.\Here.\Come to the stage at the end. We're just a thrown-together band, though.\W-What? What is this? These people jumping into the picture?\I had fun today.\Thanks. response:	Do you have class tomorrow, too?
context: Oh, well, that's because I'm not very feminine.\But, Yoshioka-san, you're such a girl.\Here.\Come to the stage at the end. We're just a thrown-together band, though.\W-What? What is this? These people jumping into the picture?\I had fun today.\Thanks.\Do you have class tomorrow, too? response:	Yeah.
context: But, Yoshioka-san, you're such a girl.\Here.\Come to the stage at the end. We're just a thrown-together band, though.\W-What? What is this? These people jumping into the picture?\I had fun today.\Thanks.\Do you have class tomorrow, too?\Yeah. response:	Yoshioka-san!
context: Here.\Come to the stage at the end. We're just a thrown-together band, though.\W-What? What is this? These people jumping into the picture?\I had fun today.\Thanks.\Do you have class tomorrow, too?\Yeah.\Yoshioka-san! response:	Crap, the mic was on.
context: Come to the stage at the end. We're just a thrown-together band, though.\W-What? What is this? These people jumping into the picture?\I had fun today.\Thanks.\Do you have class tomorrow, too?\Yeah.\Yoshioka-san!\Crap, the mic was on. response:	Nice, Kikuchi!
context: W-What? What is this? These people jumping into the picture?\I had fun today.\Thanks.\Do you have class tomorrow, too?\Yeah.\Yoshioka-san!\Crap, the mic was on.\Nice, Kikuchi! response:	Kou-chan.
context: I had fun today.\Thanks.\Do you have class tomorrow, too?\Yeah.\Yoshioka-san!\Crap, the mic was on.\Nice, Kikuchi!\Kou-chan. response:	There's a train. I need to hurry.
context: Thanks.\Do you have class tomorrow, too?\Yeah.\Yoshioka-san!\Crap, the mic was on.\Nice, Kikuchi!\Kou-chan.\There's a train. I need to hurry. response:	Then we'll stop here.
context: Do you have class tomorrow, too?\Yeah.\Yoshioka-san!\Crap, the mic was on.\Nice, Kikuchi!\Kou-chan.\There's a train. I need to hurry.\Then we'll stop here. response:	That-
context: Yeah.\Yoshioka-san!\Crap, the mic was on.\Nice, Kikuchi!\Kou-chan.\There's a train. I need to hurry.\Then we'll stop here.\That- response:	Like I said,
context: Yoshioka-san!\Crap, the mic was on.\Nice, Kikuchi!\Kou-chan.\There's a train. I need to hurry.\Then we'll stop here.\That-\Like I said, response:	I had to cancel our summer plans at the last second, right? To make up for that.
context: Crap, the mic was on.\Nice, Kikuchi!\Kou-chan.\There's a train. I need to hurry.\Then we'll stop here.\That-\Like I said,\I had to cancel our summer plans at the last second, right? To make up for that. response:	Kou!
context: Nice, Kikuchi!\Kou-chan.\There's a train. I need to hurry.\Then we'll stop here.\That-\Like I said,\I had to cancel our summer plans at the last second, right? To make up for that.\Kou! response:	Kou!
context: Kou-chan.\There's a train. I need to hurry.\Then we'll stop here.\That-\Like I said,\I had to cancel our summer plans at the last second, right? To make up for that.\Kou!\Kou! response:	You still have cleaning up to do! Kou!
