context: You can ask me about anything you'd like. I'll do whatever I can to help. response:	This is the broom you're provided with by the school.
context: We're off to an unexpected start! Their brooms can't take off!\Leading the pack is Miss Glasses,\our average, ordinary everygirl, Lotte Jansson!\And close behind is...\Constanze Braunschbank Albrechtsberger!\A name that would make any announcer cry!\And she's riding...\A broom? response:	Wow! Constanze overtook her before the relay point!
context: Leading the pack is Miss Glasses,\our average, ordinary everygirl, Lotte Jansson!\And close behind is...\Constanze Braunschbank Albrechtsberger!\A name that would make any announcer cry!\And she's riding...\A broom?\Wow! Constanze overtook her before the relay point! response:	Coming out on top is the Speed of Sound Tinker Techie, Constanze!
context: our average, ordinary everygirl, Lotte Jansson!\And close behind is...\Constanze Braunschbank Albrechtsberger!\A name that would make any announcer cry!\And she's riding...\A broom?\Wow! Constanze overtook her before the relay point!\Coming out on top is the Speed of Sound Tinker Techie, Constanze! response:	She customized her broom!
context: And close behind is...\Constanze Braunschbank Albrechtsberger!\A name that would make any announcer cry!\And she's riding...\A broom?\Wow! Constanze overtook her before the relay point!\Coming out on top is the Speed of Sound Tinker Techie, Constanze!\She customized her broom! response:	No wonder the nutrients had no effect.
context: Constanze Braunschbank Albrechtsberger!\A name that would make any announcer cry!\And she's riding...\A broom?\Wow! Constanze overtook her before the relay point!\Coming out on top is the Speed of Sound Tinker Techie, Constanze!\She customized her broom!\No wonder the nutrients had no effect. response:	Sucy!
context: A name that would make any announcer cry!\And she's riding...\A broom?\Wow! Constanze overtook her before the relay point!\Coming out on top is the Speed of Sound Tinker Techie, Constanze!\She customized her broom!\No wonder the nutrients had no effect.\Sucy! response:	Lotte! Over here!
context: And she's riding...\A broom?\Wow! Constanze overtook her before the relay point!\Coming out on top is the Speed of Sound Tinker Techie, Constanze!\She customized her broom!\No wonder the nutrients had no effect.\Sucy!\Lotte! Over here! response:	In second is Sucy Manbavaran!
context: A broom?\Wow! Constanze overtook her before the relay point!\Coming out on top is the Speed of Sound Tinker Techie, Constanze!\She customized her broom!\No wonder the nutrients had no effect.\Sucy!\Lotte! Over here!\In second is Sucy Manbavaran! response:	And holding on to the top spot is The Magic World's Food Fighter, Jasminka Antonenko!
context: Wow! Constanze overtook her before the relay point!\Coming out on top is the Speed of Sound Tinker Techie, Constanze!\She customized her broom!\No wonder the nutrients had no effect.\Sucy!\Lotte! Over here!\In second is Sucy Manbavaran!\And holding on to the top spot is The Magic World's Food Fighter, Jasminka Antonenko! response:	What a dignified sidesaddle!
context: Coming out on top is the Speed of Sound Tinker Techie, Constanze!\She customized her broom!\No wonder the nutrients had no effect.\Sucy!\Lotte! Over here!\In second is Sucy Manbavaran!\And holding on to the top spot is The Magic World's Food Fighter, Jasminka Antonenko!\What a dignified sidesaddle! response:	Oh no, what has overcome her?! Jasminka has left the course!
context: She customized her broom!\No wonder the nutrients had no effect.\Sucy!\Lotte! Over here!\In second is Sucy Manbavaran!\And holding on to the top spot is The Magic World's Food Fighter, Jasminka Antonenko!\What a dignified sidesaddle!\Oh no, what has overcome her?! Jasminka has left the course! response:	Eat to your heart's content.
context: No wonder the nutrients had no effect.\Sucy!\Lotte! Over here!\In second is Sucy Manbavaran!\And holding on to the top spot is The Magic World's Food Fighter, Jasminka Antonenko!\What a dignified sidesaddle!\Oh no, what has overcome her?! Jasminka has left the course!\Eat to your heart's content. response:	I'm Amanda, a rebel cut from the same tree as you.
context: Sucy!\Lotte! Over here!\In second is Sucy Manbavaran!\And holding on to the top spot is The Magic World's Food Fighter, Jasminka Antonenko!\What a dignified sidesaddle!\Oh no, what has overcome her?! Jasminka has left the course!\Eat to your heart's content.\I'm Amanda, a rebel cut from the same tree as you. response:	Let's be buds.
context: Lotte! Over here!\In second is Sucy Manbavaran!\And holding on to the top spot is The Magic World's Food Fighter, Jasminka Antonenko!\What a dignified sidesaddle!\Oh no, what has overcome her?! Jasminka has left the course!\Eat to your heart's content.\I'm Amanda, a rebel cut from the same tree as you.\Let's be buds. response:	Ouch!
context: In second is Sucy Manbavaran!\And holding on to the top spot is The Magic World's Food Fighter, Jasminka Antonenko!\What a dignified sidesaddle!\Oh no, what has overcome her?! Jasminka has left the course!\Eat to your heart's content.\I'm Amanda, a rebel cut from the same tree as you.\Let's be buds.\Ouch! response:	Damn you!
context: And holding on to the top spot is The Magic World's Food Fighter, Jasminka Antonenko!\What a dignified sidesaddle!\Oh no, what has overcome her?! Jasminka has left the course!\Eat to your heart's content.\I'm Amanda, a rebel cut from the same tree as you.\Let's be buds.\Ouch!\Damn you! response:	Get down here!
context: What a dignified sidesaddle!\Oh no, what has overcome her?! Jasminka has left the course!\Eat to your heart's content.\I'm Amanda, a rebel cut from the same tree as you.\Let's be buds.\Ouch!\Damn you!\Get down here! response:	Listen to me!
context: Oh no, what has overcome her?! Jasminka has left the course!\Eat to your heart's content.\I'm Amanda, a rebel cut from the same tree as you.\Let's be buds.\Ouch!\Damn you!\Get down here!\Listen to me! response:	There ain't no broom in the world I can't ride!
context: Eat to your heart's content.\I'm Amanda, a rebel cut from the same tree as you.\Let's be buds.\Ouch!\Damn you!\Get down here!\Listen to me!\There ain't no broom in the world I can't ride! response:	In the lead by a mile is the Mushroom Poison Queen, Sucy!
context: I'm Amanda, a rebel cut from the same tree as you.\Let's be buds.\Ouch!\Damn you!\Get down here!\Listen to me!\There ain't no broom in the world I can't ride!\In the lead by a mile is the Mushroom Poison Queen, Sucy! response:	Sucy! Over here!
context: Let's be buds.\Ouch!\Damn you!\Get down here!\Listen to me!\There ain't no broom in the world I can't ride!\In the lead by a mile is the Mushroom Poison Queen, Sucy!\Sucy! Over here! response:	Akko, get ready!
context: Ouch!\Damn you!\Get down here!\Listen to me!\There ain't no broom in the world I can't ride!\In the lead by a mile is the Mushroom Poison Queen, Sucy!\Sucy! Over here!\Akko, get ready! response:	What is the meaning of that uncouth riding style?
context: Damn you!\Get down here!\Listen to me!\There ain't no broom in the world I can't ride!\In the lead by a mile is the Mushroom Poison Queen, Sucy!\Sucy! Over here!\Akko, get ready!\What is the meaning of that uncouth riding style? response:	Who cares, as long as I win?
context: Get down here!\Listen to me!\There ain't no broom in the world I can't ride!\In the lead by a mile is the Mushroom Poison Queen, Sucy!\Sucy! Over here!\Akko, get ready!\What is the meaning of that uncouth riding style?\Who cares, as long as I win? response:	Catch ya later!
context: Listen to me!\There ain't no broom in the world I can't ride!\In the lead by a mile is the Mushroom Poison Queen, Sucy!\Sucy! Over here!\Akko, get ready!\What is the meaning of that uncouth riding style?\Who cares, as long as I win?\Catch ya later! response:	Could this be a breach of conduct?
