context: I've finally gotten rid of that father and son. response:	I'll find a place to sleep on the north bank tonight.
context: Aunt, do not fret. There is precedent.\Precedent?\It's said when Heavenly Lord was still a crown prince\the former Heavenly Lord arranged for his cousin to be his crown princess.\Heavenly Lord was displeased.\The former Heavenly Lord issued a decree\to have him confined in his aunt's residence.\Who knew that after a month, affection would grow. response:	They returned to the Celestial Palace and it became a wonderful story.
context: Precedent?\It's said when Heavenly Lord was still a crown prince\the former Heavenly Lord arranged for his cousin to be his crown princess.\Heavenly Lord was displeased.\The former Heavenly Lord issued a decree\to have him confined in his aunt's residence.\Who knew that after a month, affection would grow.\They returned to the Celestial Palace and it became a wonderful story. response:	Wonderful story?
context: It's said when Heavenly Lord was still a crown prince\the former Heavenly Lord arranged for his cousin to be his crown princess.\Heavenly Lord was displeased.\The former Heavenly Lord issued a decree\to have him confined in his aunt's residence.\Who knew that after a month, affection would grow.\They returned to the Celestial Palace and it became a wonderful story.\Wonderful story? response:	Yes. It is in Lord Ye Hua's right to stay here in Qing Qiu.
context: the former Heavenly Lord arranged for his cousin to be his crown princess.\Heavenly Lord was displeased.\The former Heavenly Lord issued a decree\to have him confined in his aunt's residence.\Who knew that after a month, affection would grow.\They returned to the Celestial Palace and it became a wonderful story.\Wonderful story?\Yes. It is in Lord Ye Hua's right to stay here in Qing Qiu. response:	Nobody could rebuke him for it.
context: Heavenly Lord was displeased.\The former Heavenly Lord issued a decree\to have him confined in his aunt's residence.\Who knew that after a month, affection would grow.\They returned to the Celestial Palace and it became a wonderful story.\Wonderful story?\Yes. It is in Lord Ye Hua's right to stay here in Qing Qiu.\Nobody could rebuke him for it. response:	I actually think he came to give me a hard time.
context: The former Heavenly Lord issued a decree\to have him confined in his aunt's residence.\Who knew that after a month, affection would grow.\They returned to the Celestial Palace and it became a wonderful story.\Wonderful story?\Yes. It is in Lord Ye Hua's right to stay here in Qing Qiu.\Nobody could rebuke him for it.\I actually think he came to give me a hard time. response:	Did you anger Lord Ye Hua at the Eastern Sea?
context: to have him confined in his aunt's residence.\Who knew that after a month, affection would grow.\They returned to the Celestial Palace and it became a wonderful story.\Wonderful story?\Yes. It is in Lord Ye Hua's right to stay here in Qing Qiu.\Nobody could rebuke him for it.\I actually think he came to give me a hard time.\Did you anger Lord Ye Hua at the Eastern Sea? response:	I broke up his relationship with the princess of the Eastern Sea.
context: Who knew that after a month, affection would grow.\They returned to the Celestial Palace and it became a wonderful story.\Wonderful story?\Yes. It is in Lord Ye Hua's right to stay here in Qing Qiu.\Nobody could rebuke him for it.\I actually think he came to give me a hard time.\Did you anger Lord Ye Hua at the Eastern Sea?\I broke up his relationship with the princess of the Eastern Sea. response:	Then...
context: They returned to the Celestial Palace and it became a wonderful story.\Wonderful story?\Yes. It is in Lord Ye Hua's right to stay here in Qing Qiu.\Nobody could rebuke him for it.\I actually think he came to give me a hard time.\Did you anger Lord Ye Hua at the Eastern Sea?\I broke up his relationship with the princess of the Eastern Sea.\Then... response:	Lord Ye Hua is not present at the moment. You can hide for a while.
context: Wonderful story?\Yes. It is in Lord Ye Hua's right to stay here in Qing Qiu.\Nobody could rebuke him for it.\I actually think he came to give me a hard time.\Did you anger Lord Ye Hua at the Eastern Sea?\I broke up his relationship with the princess of the Eastern Sea.\Then...\Lord Ye Hua is not present at the moment. You can hide for a while. response:	He isn't here?
context: Yes. It is in Lord Ye Hua's right to stay here in Qing Qiu.\Nobody could rebuke him for it.\I actually think he came to give me a hard time.\Did you anger Lord Ye Hua at the Eastern Sea?\I broke up his relationship with the princess of the Eastern Sea.\Then...\Lord Ye Hua is not present at the moment. You can hide for a while.\He isn't here? response:	He left after leaving the young prince with me.
context: Nobody could rebuke him for it.\I actually think he came to give me a hard time.\Did you anger Lord Ye Hua at the Eastern Sea?\I broke up his relationship with the princess of the Eastern Sea.\Then...\Lord Ye Hua is not present at the moment. You can hide for a while.\He isn't here?\He left after leaving the young prince with me. response:	Mother, I am a little hungry.
context: I actually think he came to give me a hard time.\Did you anger Lord Ye Hua at the Eastern Sea?\I broke up his relationship with the princess of the Eastern Sea.\Then...\Lord Ye Hua is not present at the moment. You can hide for a while.\He isn't here?\He left after leaving the young prince with me.\Mother, I am a little hungry. response:	Did you save any food here?
context: Did you anger Lord Ye Hua at the Eastern Sea?\I broke up his relationship with the princess of the Eastern Sea.\Then...\Lord Ye Hua is not present at the moment. You can hide for a while.\He isn't here?\He left after leaving the young prince with me.\Mother, I am a little hungry.\Did you save any food here? response:	No.
context: I broke up his relationship with the princess of the Eastern Sea.\Then...\Lord Ye Hua is not present at the moment. You can hide for a while.\He isn't here?\He left after leaving the young prince with me.\Mother, I am a little hungry.\Did you save any food here?\No. response:	Where's Xiao Jiu?
context: Then...\Lord Ye Hua is not present at the moment. You can hide for a while.\He isn't here?\He left after leaving the young prince with me.\Mother, I am a little hungry.\Did you save any food here?\No.\Where's Xiao Jiu? response:	With her here, isn't there someone to cook?
context: Lord Ye Hua is not present at the moment. You can hide for a while.\He isn't here?\He left after leaving the young prince with me.\Mother, I am a little hungry.\Did you save any food here?\No.\Where's Xiao Jiu?\With her here, isn't there someone to cook? response:	After you left, she left as well to go to the mortal realm to repay a debt.
context: He isn't here?\He left after leaving the young prince with me.\Mother, I am a little hungry.\Did you save any food here?\No.\Where's Xiao Jiu?\With her here, isn't there someone to cook?\After you left, she left as well to go to the mortal realm to repay a debt. response:	She's left to repay a debt again?
context: He left after leaving the young prince with me.\Mother, I am a little hungry.\Did you save any food here?\No.\Where's Xiao Jiu?\With her here, isn't there someone to cook?\After you left, she left as well to go to the mortal realm to repay a debt.\She's left to repay a debt again? response:	Could it be Dong Hua Dijun?
context: Mother, I am a little hungry.\Did you save any food here?\No.\Where's Xiao Jiu?\With her here, isn't there someone to cook?\After you left, she left as well to go to the mortal realm to repay a debt.\She's left to repay a debt again?\Could it be Dong Hua Dijun? response:	Forget it.
context: Did you save any food here?\No.\Where's Xiao Jiu?\With her here, isn't there someone to cook?\After you left, she left as well to go to the mortal realm to repay a debt.\She's left to repay a debt again?\Could it be Dong Hua Dijun?\Forget it. response:	Let's take A-Li to the Mushroom Market for food.
context: No.\Where's Xiao Jiu?\With her here, isn't there someone to cook?\After you left, she left as well to go to the mortal realm to repay a debt.\She's left to repay a debt again?\Could it be Dong Hua Dijun?\Forget it.\Let's take A-Li to the Mushroom Market for food. response:	Come.
